"Status","Year","Disability","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Science and Technology Laboratory","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Science and Technology Laboratory","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Female","45","40","43940","37380"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Male","35","35","42190","35840"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Actuary's Department","Female","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Actuary's Department","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","Female","[c]","[c]","[c]","[c]"
