"Status","Year","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","Female","1680","1600","48950","45140"
"In post","2022","Analysis","London","Male","2065","2040","50280","46250"
"In post","2022","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","Female","2280","2130","37790","36580"
"In post","2022","Analysis","Outside London","Male","2395","2340","39580","36950"
"In post","2022","Analysis","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Commercial","London","Female","905","880","55040","53360"
"In post","2022","Commercial","London","Male","960","945","63080","55500"
"In post","2022","Commercial","Outside London","Female","2460","2340","40890","37300"
"In post","2022","Commercial","Outside London","Male","2185","2160","44590","40000"
"In post","2022","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","30","30","52180","51040"
"In post","2022","Commercial","Unknown","Female","35","35","46900","49700"
"In post","2022","Commercial","Unknown","Male","35","35","59090","53320"
"In post","2022","Communications","London","Female","1460","1415","46670","42890"
"In post","2022","Communications","London","Male","965","960","48080","42890"
"In post","2022","Communications","Outside London","Female","3100","2915","32060","27570"
"In post","2022","Communications","Outside London","Male","2995","2955","31060","26820"
"In post","2022","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Counter Fraud","London","Female","1795","1640","35550","31880"
"In post","2022","Counter Fraud","London","Male","1800","1755","39680","37610"
"In post","2022","Counter Fraud","Outside London","Female","7185","6385","30060","27570"
"In post","2022","Counter Fraud","Outside London","Male","6225","5950","32430","28920"
"In post","2022","Counter Fraud","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Debt","London","Female","295","250","28470","26400"
"In post","2022","Debt","London","Male","205","195","31970","26400"
"In post","2022","Debt","Outside London","Female","3825","3235","23290","21260"
"In post","2022","Debt","Outside London","Male","2425","2310","23260","21260"
"In post","2022","Debt","Unknown","Female","55","45","25610","25110"
"In post","2022","Debt","Unknown","Male","15","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Female","1820","1765","47080","43000"
"In post","2022","Digital, Data & Technology","London","Male","2485","2465","49900","48000"
"In post","2022","Digital, Data & Technology","Outside London","Female","6385","6040","38130","35310"
"In post","2022","Digital, Data & Technology","Outside London","Male","11235","11030","40550","37500"
"In post","2022","Digital, Data & Technology","Overseas","Female","20","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Male","50","50","33290","33300"
"In post","2022","Digital, Data & Technology","Unknown","Female","30","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","35","35","41440","38140"
"In post","2022","Finance","London","Female","1495","1435","46270","41750"
"In post","2022","Finance","London","Male","1500","1490","50710","46240"
"In post","2022","Finance","Outside London","Female","5345","4880","35000","31990"
"In post","2022","Finance","Outside London","Male","3980","3875","38320","35300"
"In post","2022","Finance","Overseas","Female","20","20","[c]","[c]"
"In post","2022","Finance","Overseas","Male","15","15","[c]","[c]"
"In post","2022","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","Female","1350","1190","24830","21300"
"In post","2022","Grants Management","Outside London","Male","965","935","25580","21300"
"In post","2022","Human Resources","London","Female","1960","1890","45880","40910"
"In post","2022","Human Resources","London","Male","935","925","47080","41820"
"In post","2022","Human Resources","Outside London","Female","6075","5615","34550","31880"
"In post","2022","Human Resources","Outside London","Male","2670","2605","35460","32000"
"In post","2022","Human Resources","Overseas","Female","20","20","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","15","15","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","20","20","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Internal Audit","London","Female","110","105","49860","45180"
"In post","2022","Internal Audit","London","Male","120","115","53840","51820"
"In post","2022","Internal Audit","Outside London","Female","295","275","42350","40520"
"In post","2022","Internal Audit","Outside London","Male","235","230","45710","43270"
"In post","2022","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","Female","3280","3015","51490","52040"
"In post","2022","Legal","London","Male","1865","1825","54500","54770"
