"Status","Year","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Female","Heterosexual / straight","2500","2370","38960","36510"
"In post","2022","Commercial","Female","LGBO","125","120","35670","33000"
"In post","2022","Commercial","Female","Undeclared","335","315","39870","37860"
"In post","2022","Commercial","Female","Unknown","440","415","35760","33370"
"In post","2022","Commercial","Male","Heterosexual / straight","1950","1915","41980","38980"
"In post","2022","Commercial","Male","LGBO","135","135","39300","36860"
"In post","2022","Commercial","Male","Undeclared","310","305","42720","40650"
"In post","2022","Commercial","Male","Unknown","405","395","39540","36650"
"In post","2022","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Heterosexual / straight","1705","1620","42400","39250"
"In post","2022","Communications","Female","LGBO","110","110","40190","37350"
"In post","2022","Communications","Female","Undeclared","255","245","42530","39000"
"In post","2022","Communications","Female","Unknown","415","400","42230","38750"
"In post","2022","Communications","Male","Heterosexual / straight","1045","1035","42660","38750"
"In post","2022","Communications","Male","LGBO","135","135","41710","39230"
"In post","2022","Communications","Male","Undeclared","200","195","42730","39180"
"In post","2022","Communications","Male","Unknown","305","300","42820","38930"
"In post","2022","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","Heterosexual / straight","35","30","45840","42000"
"In post","2022","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Female","Unknown","40","40","39940","38070"
"In post","2022","Corporate Finance","Male","Heterosexual / straight","40","40","60710","52250"
"In post","2022","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
