"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","AA/AO","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","EO","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","EO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","G6/G7","Female","35","30","59350","60960"
"In post","2022","Attorney General's Departments","Berkshire","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","AA/AO","Female","75","65","22310","22200"
"In post","2022","Attorney General's Departments","Birmingham","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","EO","Female","80","75","26940","26220"
"In post","2022","Attorney General's Departments","Birmingham","EO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","G6/G7","Female","150","135","53600","53350"
"In post","2022","Attorney General's Departments","Birmingham","G6/G7","Male","80","80","57240","55610"
"In post","2022","Attorney General's Departments","Birmingham","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","SEO/HEO","Female","40","40","34290","33420"
"In post","2022","Attorney General's Departments","Birmingham","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","EO","Female","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","EO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","AA/AO","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","EO","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","EO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","G6/G7","Female","55","50","53150","49580"
"In post","2022","Attorney General's Departments","Bristol, City of","G6/G7","Male","35","30","56840","55610"
"In post","2022","Attorney General's Departments","Bristol, City of","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Bristol, City of","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","EO","Male","[c]","[c]","[c]","[c]"
