"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","145","130","33070","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Heterosexual / straight","295","280","28560","25100"
"In post","2022","Declared disabled","Animal and Plant Health Agency","LGBO","35","35","27560","25060"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Undeclared","50","50","30940","29180"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Heterosexual / straight","585","570","44190","38420"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","LGBO","125","125","43720","40600"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Undeclared","85","80","45790","40600"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Heterosexual / straight","70","65","32460","25870"
"In post","2022","Declared disabled","Companies House","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Heterosexual / straight","35","35","57800","59000"
"In post","2022","Declared disabled","Competition and Markets Authority","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Heterosexual / straight","50","50","41230","38980"
"In post","2022","Declared disabled","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Heterosexual / straight","100","90","36250","31540"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","Heterosexual / straight","640","590","41450","35020"
"In post","2022","Declared disabled","Crown Prosecution Service","LGBO","55","50","41490","31560"
"In post","2022","Declared disabled","Crown Prosecution Service","Undeclared","35","35","40880","39750"
"In post","2022","Declared disabled","Crown Prosecution Service","Unknown","95","85","43680","48830"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Heterosexual / straight","830","795","35210","33000"
"In post","2022","Declared disabled","Defence Equipment and Support","LGBO","60","60","31150","28870"
"In post","2022","Declared disabled","Defence Equipment and Support","Undeclared","140","135","38060","38030"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Heterosexual / straight","100","95","41150","40910"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Unknown","120","115","39330","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","420","410","47650","44080"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","90","90","44950","40050"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","40","40","46450","40460"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","125","120","47920","41660"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","LGBO","30","30","42190","34360"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Heterosexual / straight","420","400","41460","36960"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","LGBO","75","75","41720","36780"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Undeclared","50","45","40960","37100"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","580","560","41110","36970"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","110","105","40690","35900"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","70","65","40140","35980"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Heterosexual / straight","155","150","47000","41180"
"In post","2022","Declared disabled","Department for International Trade","LGBO","40","40","44820","49840"
"In post","2022","Declared disabled","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","280","275","42430","36630"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","80","80","39530","35060"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Heterosexual / straight","155","150","46740","43360"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","LGBO","40","35","47460","48770"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","11625","10215","27470","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","LGBO","1190","1125","27700","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Undeclared","1675","1460","26770","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","1300","1090","26370","27570"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","145","140","45630","40650"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","LGBO","45","40","44400","40650"
