"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Equipment and Support","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Transport Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Health Security Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Animal and Plant Health Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Prosecution Service","AA/AO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Defence Electronics and Components Agency","AA/AO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Defence Equipment and Support","EO","50","50","19330","19460"
"In post","2022","16-19","Declared non-disabled","Defence Science and Technology Laboratory","AA/AO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","95","95","21640","21260"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","EO","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","AA/AO","30","25","19250","18310"
"In post","2022","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","FCDO Services","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
