"Status","Year","Age","Disability","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","Male","25","25","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Female","50","45","25320","25000"
"In post","2022","16-19","Declared non-disabled","London","Male","35","30","24610","25110"
"In post","2022","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Outside London","Female","295","285","21840","21260"
"In post","2022","16-19","Declared non-disabled","Outside London","Male","295","285","21280","21250"
"In post","2022","16-19","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","Female","30","30","26350","25740"
"In post","2022","16-19","Unknown","London","Male","30","30","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Female","210","200","21790","21250"
"In post","2022","16-19","Unknown","Outside London","Male","245","235","20850","21250"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","London","Female","1060","1045","35480","33210"
"In post","2022","20-29","Declared disabled","London","Male","620","615","36770","34260"
"In post","2022","20-29","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Outside London","Female","2420","2360","26900","26000"
"In post","2022","20-29","Declared disabled","Outside London","Male","1640","1620","26860","26350"
"In post","2022","20-29","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","Female","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","Male","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Female","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Male","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","London","Female","7615","7545","36680","34020"
"In post","2022","20-29","Declared non-disabled","London","Male","5710","5685","37810","34550"
"In post","2022","20-29","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Outside London","Female","20490","20015","26890","26130"
"In post","2022","20-29","Declared non-disabled","Outside London","Male","16190","16080","27330","26590"
"In post","2022","20-29","Declared non-disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Overseas","Female","120","120","33940","32560"
"In post","2022","20-29","Declared non-disabled","Overseas","Male","95","95","34610","33230"
"In post","2022","20-29","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","Female","90","90","30710","29290"
"In post","2022","20-29","Declared non-disabled","Unknown","Male","70","70","29280","27570"
"In post","2022","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","London","Female","395","395","36610","34020"
"In post","2022","20-29","Undeclared","London","Male","405","405","38270","35000"
"In post","2022","20-29","Undeclared","Outside London","Female","800","780","26940","26590"
"In post","2022","20-29","Undeclared","Outside London","Male","820","815","27800","26820"
"In post","2022","20-29","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","London","Female","4680","4650","35330","32790"
"In post","2022","20-29","Unknown","London","Male","3465","3455","36560","33570"
"In post","2022","20-29","Unknown","Outside London","Female","9125","8900","26500","24880"
"In post","2022","20-29","Unknown","Outside London","Male","8000","7925","26840","25680"
"In post","2022","20-29","Unknown","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","Female","40","40","37490","37720"
"In post","2022","20-29","Unknown","Overseas","Male","40","40","41220","38300"
