"Status","Year","Disability","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","EO","60","55","24940","24250"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","90","80","34010","34270"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","AA/AO","145","130","22000","21300"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","EO","110","105","26060","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Outside London","SEO/HEO","105","100","33520","32560"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","EO","75","75","27860","27500"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","G6/G7","215","210","58900","56340"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","SCS level","40","40","90700","76200"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","SEO/HEO","150","150","37460","37300"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","AA/AO","55","50","21110","21050"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","EO","50","45","25360","25230"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","G6/G7","55","55","53830","49700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","120","115","35390","34090"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Outside London","AA/AO","40","35","21800","22740"
"In post","2022","Declared disabled","Companies House","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Outside London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
