"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","5","5","[c]","[c]"
"In post","2022","16-19","Communications","10","10","25450","24500"
"In post","2022","16-19","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","25","25","21480","20900"
"In post","2022","16-19","Economics","20","20","24940","24300"
"In post","2022","16-19","Finance","30","30","20760","20380"
"In post","2022","16-19","Human Resources","15","15","21810","21200"
"In post","2022","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","660","625","22020","21260"
"In post","2022","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","105","105","20400","21170"
"In post","2022","16-19","Policy","45","40","24660","25000"
"In post","2022","16-19","Project Delivery","10","10","20000","19460"
"In post","2022","16-19","Property","35","35","22620","24080"
"In post","2022","16-19","Science and Engineering","115","115","18450","17450"
"In post","2022","16-19","Security","10","10","21390","21150"
"In post","2022","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","65","60","21680","21250"
"In post","2022","16-19","Unknown","100","100","23020","21260"
"In post","2022","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","1060","1055","32370","30600"
"In post","2022","20-29","Communications","895","890","35220","33210"
"In post","2022","20-29","Corporate Finance","15","15","34840","33260"
"In post","2022","20-29","Counter Fraud","645","640","27340","27570"
"In post","2022","20-29","Digital, Data and Technology","2930","2915","33900","32870"
"In post","2022","20-29","Economics","1170","1165","38220","34690"
"In post","2022","20-29","Finance","1610","1590","33040","30600"
"In post","2022","20-29","Geography","115","115","25530","26740"
"In post","2022","20-29","Human Resources","1345","1335","31790","29970"
"In post","2022","20-29","Intelligence Analysis","500","495","31130","29250"
"In post","2022","20-29","Internal Audit","55","55","33670","33420"
"In post","2022","20-29","International Trade","510","510","38380","38160"
"In post","2022","20-29","Knowledge and Information Management","290","285","30960","28250"
"In post","2022","20-29","Legal","1340","1335","35170","32780"
"In post","2022","20-29","Medicine","140","135","33100","31530"
"In post","2022","20-29","Operational Delivery","38420","37655","25920","24890"
"In post","2022","20-29","Operational Research","320","315","35360","34610"
"In post","2022","20-29","Other","3580","3530","26950","26250"
"In post","2022","20-29","Planning","35","35","34610","33210"
"In post","2022","20-29","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","8640","8600","38710","35700"
"In post","2022","20-29","Project Delivery","2030","2015","34200","33080"
"In post","2022","20-29","Property","845","835","30100","28500"
"In post","2022","20-29","Psychology","395","390","27700","27700"
"In post","2022","20-29","Science and Engineering","2900","2885","29360","28680"
"In post","2022","20-29","Security","1120","1120","27730","26610"
"In post","2022","20-29","Social Research","560","555","35830","33710"
"In post","2022","20-29","Statistics","835","830","35640","33710"
"In post","2022","20-29","Tax","4195","4120","28830","26590"
"In post","2022","20-29","Unknown","8055","7990","32180","29250"
"In post","2022","20-29","Veterinarian","15","15","29870","29180"
"In post","2022","30-39","Commercial","1535","1475","38810","37400"
"In post","2022","30-39","Communications","1190","1155","43830","40650"
"In post","2022","30-39","Corporate Finance","40","40","47350","42240"
"In post","2022","30-39","Counter Fraud","885","825","29040","27570"
"In post","2022","30-39","Digital, Data and Technology","4650","4565","41800","39040"
"In post","2022","30-39","Economics","510","490","56600","55860"
"In post","2022","30-39","Finance","2470","2380","41290","37930"
"In post","2022","30-39","Geography","110","110","32750","33290"
"In post","2022","30-39","Human Resources","2150","2055","37970","34010"
"In post","2022","30-39","Inspector of Education and Training","100","100","58330","51360"
"In post","2022","30-39","Intelligence Analysis","835","805","34120","30980"
"In post","2022","30-39","Internal Audit","135","130","42120","40440"
"In post","2022","30-39","International Trade","525","520","49650","51710"
"In post","2022","30-39","Knowledge and Information Management","440","425","36070","33000"
"In post","2022","30-39","Legal","3130","3015","46760","48830"
"In post","2022","30-39","Medicine","590","520","45860","39030"
"In post","2022","30-39","Operational Delivery","51650","48390","28480","27130"
"In post","2022","30-39","Operational Research","335","325","46470","47010"
"In post","2022","30-39","Other","5345","5070","31990","27570"
"In post","2022","30-39","Planning","65","65","41020","39600"
"In post","2022","30-39","Planning Inspectors","55","55","48420","47660"
"In post","2022","30-39","Policy","9515","9260","48600","50790"
"In post","2022","30-39","Project Delivery","3645","3540","42130","40170"
"In post","2022","30-39","Property","1105","1070","37720","33740"
"In post","2022","30-39","Psychology","605","585","34970","31180"
"In post","2022","30-39","Science and Engineering","3000","2920","38920","38070"
"In post","2022","30-39","Security","1740","1725","33360","32090"
"In post","2022","30-39","Social Research","405","385","44710","41950"
"In post","2022","30-39","Statistics","695","665","44830","42100"
"In post","2022","30-39","Tax","5350","5175","34760","33370"
"In post","2022","30-39","Unknown","8605","8360","41340","37300"
"In post","2022","30-39","Veterinarian","100","95","38790","37240"
"In post","2022","40-49","Commercial","1510","1450","42770","39920"
"In post","2022","40-49","Communications","1105","1050","46950","42850"
"In post","2022","40-49","Corporate Finance","40","40","56150","47030"
"In post","2022","40-49","Counter Fraud","1425","1310","29720","27570"
"In post","2022","40-49","Digital, Data and Technology","5500","5380","45350","41230"
"In post","2022","40-49","Economics","240","225","63400","61440"
"In post","2022","40-49","Finance","3200","3080","42640","38400"
"In post","2022","40-49","Geography","100","95","33770","33290"
"In post","2022","40-49","Human Resources","2480","2355","42210","38160"
"In post","2022","40-49","Inspector of Education and Training","305","305","64810","64500"
"In post","2022","40-49","Intelligence Analysis","790","755","35120","30830"
"In post","2022","40-49","Internal Audit","190","185","47040","43710"
"In post","2022","40-49","International Trade","275","270","52930","51970"
"In post","2022","40-49","Knowledge and Information Management","590","565","37190","35000"
"In post","2022","40-49","Legal","3615","3345","51820","53050"
"In post","2022","40-49","Medicine","765","675","57360","47470"
"In post","2022","40-49","Operational Delivery","57010","52505","29970","27570"
"In post","2022","40-49","Operational Research","240","225","50040","47590"
"In post","2022","40-49","Other","6470","6135","33330","27570"
"In post","2022","40-49","Planning","55","55","48080","48200"
"In post","2022","40-49","Planning Inspectors","110","105","53230","47660"
"In post","2022","40-49","Policy","7325","7000","53230","53420"
"In post","2022","40-49","Project Delivery","4160","4015","45990","41380"
"In post","2022","40-49","Property","1685","1625","39950","36560"
"In post","2022","40-49","Psychology","335","310","44570","45830"
"In post","2022","40-49","Science and Engineering","2970","2835","44070","42130"
"In post","2022","40-49","Security","1935","1910","34760","35060"
"In post","2022","40-49","Social Research","235","215","49160","50210"
"In post","2022","40-49","Statistics","500","475","51120","51300"
"In post","2022","40-49","Tax","3815","3670","36750","33370"
"In post","2022","40-49","Unknown","7355","7070","47790","43000"
"In post","2022","40-49","Veterinarian","155","150","44040","40460"
"In post","2022","50-59","Commercial","1660","1610","43100","40000"
"In post","2022","50-59","Communications","765","745","43090","38620"
"In post","2022","50-59","Corporate Finance","35","35","49300","47010"
"In post","2022","50-59","Counter Fraud","2490","2310","29700","27570"
"In post","2022","50-59","Digital, Data and Technology","5460","5340","44030","40520"
"In post","2022","50-59","Economics","125","120","68480","66050"
"In post","2022","50-59","Finance","3855","3745","42090","37590"
"In post","2022","50-59","Geography","115","110","33640","33290"
"In post","2022","50-59","Human Resources","2845","2735","41000","37000"
"In post","2022","50-59","Inspector of Education and Training","410","405","66560","70500"
"In post","2022","50-59","Intelligence Analysis","880","855","34070","30920"
"In post","2022","50-59","Internal Audit","310","300","49900","47150"
"In post","2022","50-59","International Trade","265","265","52040","48220"
"In post","2022","50-59","Knowledge and Information Management","770","750","36310","33300"
"In post","2022","50-59","Legal","3620","3400","52010","53050"
"In post","2022","50-59","Medicine","730","665","61740","47470"
"In post","2022","50-59","Operational Delivery","76195","69940","29810","27570"
"In post","2022","50-59","Operational Research","180","170","50720","48090"
"In post","2022","50-59","Other","10275","9850","30930","27570"
"In post","2022","50-59","Planning","55","55","50600","49430"
"In post","2022","50-59","Planning Inspectors","125","115","57610","58810"
"In post","2022","50-59","Policy","6000","5840","50420","47470"
"In post","2022","50-59","Project Delivery","4750","4600","46500","41630"
"In post","2022","50-59","Property","2720","2640","40130","36050"
"In post","2022","50-59","Psychology","160","150","40470","31180"
"In post","2022","50-59","Science and Engineering","3450","3350","43750","42030"
"In post","2022","50-59","Security","3325","3285","33560","33000"
"In post","2022","50-59","Social Research","100","95","53090","55210"
"In post","2022","50-59","Statistics","295","285","50900","51210"
"In post","2022","50-59","Tax","4550","4355","39180","35720"
"In post","2022","50-59","Unknown","6420","6230","48040","40810"
"In post","2022","50-59","Veterinarian","95","95","49040","51300"
"In post","2022","60-64","Commercial","350","305","40480","38410"
"In post","2022","60-64","Communications","150","145","40690","35630"
"In post","2022","60-64","Corporate Finance","10","10","[c]","[c]"
"In post","2022","60-64","Counter Fraud","830","630","28820","27570"
"In post","2022","60-64","Digital, Data and Technology","1125","995","41120","37570"
"In post","2022","60-64","Economics","20","15","57590","54400"
"In post","2022","60-64","Finance","885","790","38490","34290"
"In post","2022","60-64","Geography","40","30","32770","33290"
"In post","2022","60-64","Human Resources","620","530","36720","33350"
"In post","2022","60-64","Inspector of Education and Training","95","90","70640","75500"
"In post","2022","60-64","Intelligence Analysis","170","145","34130","30900"
"In post","2022","60-64","Internal Audit","75","65","44300","43430"
"In post","2022","60-64","International Trade","50","45","54010","55780"
"In post","2022","60-64","Knowledge and Information Management","220","205","34090","31030"
"In post","2022","60-64","Legal","715","590","52000","54580"
"In post","2022","60-64","Medicine","210","185","65820","49250"
