"Status","Year","Age","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
