"Status","Year","Organisation","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","AA","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G7","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
