"Status","Year","Age","Disability","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA","110","100","19440","19380"
"In post","2022","16-19","Declared non-disabled","AO","370","360","22040","21260"
"In post","2022","16-19","Declared non-disabled","EO","155","155","24160","25000"
"In post","2022","16-19","Declared non-disabled","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","30","30","19260","18030"
"In post","2022","16-19","Undeclared","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","10","10","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA","105","95","19980","20890"
"In post","2022","16-19","Unknown","AO","260","250","22200","21260"
"In post","2022","16-19","Unknown","EO","130","125","22860","24830"
"In post","2022","16-19","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","45","45","17940","16720"
"In post","2022","20-29","Declared disabled","AA","180","175","20870","20890"
"In post","2022","20-29","Declared disabled","AO","1515","1465","22730","21260"
"In post","2022","20-29","Declared disabled","EO","1725","1700","27440","27570"
"In post","2022","20-29","Declared disabled","G6","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","G7","315","315","53570","53380"
"In post","2022","20-29","Declared disabled","HEO","1225","1215","32980","33080"
"In post","2022","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SEO","425","420","39810","40050"
"In post","2022","20-29","Declared disabled","Unknown","375","370","26080","24270"
"In post","2022","20-29","Declared non-disabled","AA","1620","1580","20630","20890"
"In post","2022","20-29","Declared non-disabled","AO","14050","13695","23190","21680"
"In post","2022","20-29","Declared non-disabled","EO","14195","14035","27220","27500"
"In post","2022","20-29","Declared non-disabled","G6","200","200","65220","64700"
"In post","2022","20-29","Declared non-disabled","G7","2850","2840","54160","53530"
"In post","2022","20-29","Declared non-disabled","HEO","10740","10685","32830","33080"
"In post","2022","20-29","Declared non-disabled","SCS level","5","5","[c]","[c]"
