"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","London","AA/AO","50","45","23390","23770"
"In post","2022","Declared disabled","Attorney General's Departments","London","EO","80","75","29240","29290"
"In post","2022","Declared disabled","Attorney General's Departments","London","G6/G7","230","210","61490","62370"
"In post","2022","Declared disabled","Attorney General's Departments","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","SEO/HEO","55","55","36810","35290"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","AA/AO","140","125","22450","22200"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","EO","130","120","27680","28430"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","G6/G7","260","235","56560","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Outside London","SEO/HEO","100","95","36240","35020"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","EO","80","75","27930","27500"
"In post","2022","Declared disabled","Cabinet Office","London","G6/G7","220","220","58970","56340"
"In post","2022","Declared disabled","Cabinet Office","London","SCS level","40","40","90870","76790"
"In post","2022","Declared disabled","Cabinet Office","London","SEO/HEO","160","155","37410","36690"
"In post","2022","Declared disabled","Cabinet Office","Outside London","AA/AO","55","50","21090","21050"
"In post","2022","Declared disabled","Cabinet Office","Outside London","EO","60","60","25510","25520"
"In post","2022","Declared disabled","Cabinet Office","Outside London","G6/G7","75","75","54220","51100"
"In post","2022","Declared disabled","Cabinet Office","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Outside London","SEO/HEO","160","155","35570","35500"
"In post","2022","Declared disabled","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","EO","50","50","28880","27690"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","G6/G7","225","215","58010","54710"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","255","250","38250","39570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","130","115","21030","21130"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","EO","150","140","25840","24650"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","85","85","56930","56450"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","325","305","36370","35180"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","G6/G7","55","55","56040","52680"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","SEO/HEO","60","60","35560","34020"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","G6/G7","95","90","59840","59680"
"In post","2022","Declared disabled","Department for Education","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","SEO/HEO","90","85","38490","40230"
"In post","2022","Declared disabled","Department for Education","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Outside London","EO","75","70","25530","25000"
"In post","2022","Declared disabled","Department for Education","Outside London","G6/G7","145","140","53600","50620"
"In post","2022","Declared disabled","Department for Education","Outside London","SCS level","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Outside London","SEO/HEO","320","305","34310","36500"
"In post","2022","Declared disabled","Department for Education","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","EO","50","50","28670","28310"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","G6/G7","85","80","56780","54600"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","SEO/HEO","150","145","36840","35890"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","260","235","21750","21300"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","EO","235","220","25880","25190"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","185","180","52650","49720"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","420","395","33550","32830"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","EO","[c]","[c]","[c]","[c]"
