"Status","Year","Age","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
