"Status","Year","Age","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","Female","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - West and North West","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Southern Scotland","Female","[c]","[c]","[c]","[c]"
