"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","20","20","28840","29000"
"In post","2022","Analysis","Digital, Data and Technology","G6/G7","55","55","56440","53760"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO/HEO","85","80","38960","39030"
"In post","2022","Analysis","Economics","AA/AO","50","50","20980","19860"
"In post","2022","Analysis","Economics","EO","110","110","27090","27680"
"In post","2022","Analysis","Economics","G6/G7","570","550","59660","55980"
"In post","2022","Analysis","Economics","SCS level","60","60","95230","85770"
"In post","2022","Analysis","Economics","SEO/HEO","580","575","35290","34020"
"In post","2022","Analysis","Finance","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","G6/G7","25","20","60030","56750"
"In post","2022","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO/HEO","25","25","37810","37290"
"In post","2022","Analysis","Geography","AA/AO","10","10","20330","21170"
"In post","2022","Analysis","Geography","EO","15","15","27570","26670"
"In post","2022","Analysis","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","SEO/HEO","30","30","34930","33300"
"In post","2022","Analysis","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6/G7","15","15","57770","57230"
"In post","2022","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO/HEO","20","20","39030","38970"
"In post","2022","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6/G7","20","20","60410","56360"
"In post","2022","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO/HEO","75","75","35810","35900"
"In post","2022","Analysis","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6/G7","15","15","59490","57150"
"In post","2022","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO/HEO","20","20","38390","37060"
"In post","2022","Analysis","Medicine","G6/G7","10","10","56440","53360"
"In post","2022","Analysis","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","AA/AO","35","30","20910","20350"
"In post","2022","Analysis","Operational Delivery","EO","235","220","25720","24870"
"In post","2022","Analysis","Operational Delivery","G6/G7","130","130","56410","53260"
"In post","2022","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","SEO/HEO","445","430","34840","35790"
"In post","2022","Analysis","Operational Research","AA/AO","30","30","22820","21840"
"In post","2022","Analysis","Operational Research","EO","30","30","26920","26350"
"In post","2022","Analysis","Operational Research","G6/G7","295","280","56180","56130"
"In post","2022","Analysis","Operational Research","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","SEO/HEO","350","340","37250","38070"
"In post","2022","Analysis","Other","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Other","EO","55","55","28420","28230"
"In post","2022","Analysis","Other","G6/G7","185","170","76090","67150"
"In post","2022","Analysis","Other","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Other","SEO/HEO","130","125","38720","37640"
