"Status","Year","Age","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
