"Status","Year","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","195","185","67500","60780"
"In post","2022","Analysis","Chancellor's other departments","Outside London","15","15","62560","57250"
"In post","2022","Analysis","Competition and Markets Authority","London","130","125","62170","56360"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","270","265","44180","37900"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","115","115","37550","36240"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","15","15","42420","38020"
"In post","2022","Analysis","Department for Education","London","70","65","49030","45940"
"In post","2022","Analysis","Department for Education","Outside London","135","130","42360","41990"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","515","490","33910","30220"
"In post","2022","Analysis","Department for International Trade","London","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","30","30","38250","30260"
"In post","2022","Analysis","Department for Transport","London","320","310","48090","54110"
"In post","2022","Analysis","Department for Transport","Outside London","80","75","33100","31860"
"In post","2022","Analysis","Department for Work and Pensions","London","250","240","46140","40270"
"In post","2022","Analysis","Department for Work and Pensions","Outside London","420","395","41170","36320"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","London","355","340","51900","53360"
"In post","2022","Analysis","Department of Health and Social Care","Outside London","95","90","46410","49530"
"In post","2022","Analysis","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","20","20","38130","40350"
"In post","2022","Analysis","Food Standards Agency","Outside London","25","25","41260","38110"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","London","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Outside London","15","15","40410","38550"
"In post","2022","Analysis","HM Revenue and Customs","London","400","390","49890","43810"
"In post","2022","Analysis","HM Revenue and Customs","Outside London","400","385","42080","40180"
"In post","2022","Analysis","HM Treasury","London","60","55","62400","54640"
"In post","2022","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","London","100","100","45330","45030"
