"Status","Year","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","35","30","53840","53850"
"In post","2022","Attorney General's Departments","Berkshire","130","120","42610","39750"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","10","10","37230","24590"
"In post","2022","Attorney General's Departments","Birmingham","505","475","40340","38000"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","125","115","41250","31560"
"In post","2022","Attorney General's Departments","Bristol, City of","175","165","42390","48080"
"In post","2022","Attorney General's Departments","Bromley","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","15","10","41010","38000"
"In post","2022","Attorney General's Departments","Camden and City of London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","225","210","40350","38180"
"In post","2022","Attorney General's Departments","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","30","30","38220","33270"
"In post","2022","Attorney General's Departments","Croydon","60","55","36280","31180"
"In post","2022","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Devon CC","105","100","39890","38000"
"In post","2022","Attorney General's Departments","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Durham","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Ealing","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Cumbria","35","30","37920","31270"
"In post","2022","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Kent","125","120","39440","30110"
"In post","2022","Attorney General's Departments","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Flintshire and Wrexham","80","75","40300","38180"
"In post","2022","Attorney General's Departments","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Haringey and Islington","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Harrow and Hillingdon","10","10","41060","30110"
"In post","2022","Attorney General's Departments","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Heart of Essex","200","185","42070","39880"
"In post","2022","Attorney General's Departments","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","180","160","43430","40000"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","10","10","31270","24590"
"In post","2022","Attorney General's Departments","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","80","70","39670","38270"
"In post","2022","Attorney General's Departments","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","460","430","42870","48080"
"In post","2022","Attorney General's Departments","Leicester","135","125","39460","38000"
"In post","2022","Attorney General's Departments","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","15","15","31230","24590"
"In post","2022","Attorney General's Departments","Lincolnshire CC","20","15","46930","55610"
