"Status","Year","Age","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Female","45","40","23560","23870"
"In post","2022","16-19","Asian","Male","60","55","22550","21260"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Female","5","5","[c]","[c]"
"In post","2022","16-19","Black","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Female","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","Male","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Male","10","5","[c]","[c]"
"In post","2022","16-19","Unknown","Female","220","210","22070","21250"
"In post","2022","16-19","Unknown","Male","280","270","21030","21250"
"In post","2022","16-19","White","Female","330","325","22150","21260"
"In post","2022","16-19","White","Male","295","290","21360","21250"
"In post","2022","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Female","3800","3710","29780","27570"
"In post","2022","20-29","Asian","Male","3110","3070","29930","27570"
"In post","2022","20-29","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Female","1665","1640","30610","30100"
"In post","2022","20-29","Black","Male","710","700","30420","29290"
"In post","2022","20-29","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","Female","1455","1420","30980","28910"
"In post","2022","20-29","Mixed","Male","975","965","31700","29290"
"In post","2022","20-29","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Female","305","300","30810","29000"
"In post","2022","20-29","Other ethnicity","Male","210","210","33280","31020"
"In post","2022","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Female","475","465","30710","29080"
