"Status","Year","Disability","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Female","Heterosexual / straight","1525","1370","32640","29290"
"In post","2022","Declared disabled","Asian","Female","LGBO","50","45","33910","32320"
"In post","2022","Declared disabled","Asian","Female","Undeclared","135","120","30520","27570"
"In post","2022","Declared disabled","Asian","Female","Unknown","100","80","27720","27540"
"In post","2022","Declared disabled","Asian","Male","Heterosexual / straight","1110","1065","33060","30020"
"In post","2022","Declared disabled","Asian","Male","LGBO","60","55","35190","31060"
"In post","2022","Declared disabled","Asian","Male","Undeclared","70","65","30050","27570"
"In post","2022","Declared disabled","Asian","Male","Unknown","85","80","30230","27570"
"In post","2022","Declared disabled","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Female","Heterosexual / straight","1295","1210","32780","30780"
"In post","2022","Declared disabled","Black","Female","LGBO","50","50","34910","31060"
"In post","2022","Declared disabled","Black","Female","Undeclared","105","95","32410","30460"
"In post","2022","Declared disabled","Black","Female","Unknown","65","55","30550","30100"
"In post","2022","Declared disabled","Black","Male","Heterosexual / straight","445","440","33130","31040"
"In post","2022","Declared disabled","Black","Male","LGBO","40","35","37800","31690"
"In post","2022","Declared disabled","Black","Male","Undeclared","35","35","32180","31570"
"In post","2022","Declared disabled","Black","Male","Unknown","30","30","34250","31480"
"In post","2022","Declared disabled","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Female","Heterosexual / straight","630","580","33880","30270"
"In post","2022","Declared disabled","Mixed","Female","LGBO","120","120","32420","29320"
"In post","2022","Declared disabled","Mixed","Female","Undeclared","90","85","31430","28840"
"In post","2022","Declared disabled","Mixed","Female","Unknown","45","35","35000","31430"
"In post","2022","Declared disabled","Mixed","Male","Heterosexual / straight","350","335","34510","31050"
"In post","2022","Declared disabled","Mixed","Male","LGBO","90","90","37150","33070"
"In post","2022","Declared disabled","Mixed","Male","Undeclared","55","50","34220","31000"
"In post","2022","Declared disabled","Mixed","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Female","Heterosexual / straight","135","125","34860","31460"
"In post","2022","Declared disabled","Other ethnicity","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Female","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Male","Heterosexual / straight","110","110","35600","31880"
"In post","2022","Declared disabled","Other ethnicity","Male","LGBO","40","40","38500","32090"
"In post","2022","Declared disabled","Other ethnicity","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Female","Heterosexual / straight","215","195","30890","27570"
"In post","2022","Declared disabled","Undeclared","Female","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Female","Undeclared","605","535","31040","27570"
"In post","2022","Declared disabled","Undeclared","Female","Unknown","135","115","28400","27570"
"In post","2022","Declared disabled","Undeclared","Male","Heterosexual / straight","190","180","32760","29290"
"In post","2022","Declared disabled","Undeclared","Male","LGBO","50","50","31840","28200"
"In post","2022","Declared disabled","Undeclared","Male","Undeclared","760","720","34680","31070"
"In post","2022","Declared disabled","Undeclared","Male","Unknown","120","110","31890","27570"
"In post","2022","Declared disabled","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Heterosexual / straight","170","145","31750","27280"
"In post","2022","Declared disabled","Unknown","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Undeclared","55","50","35790","31800"
"In post","2022","Declared disabled","Unknown","Female","Unknown","470","415","30570","27570"
"In post","2022","Declared disabled","Unknown","Male","Heterosexual / straight","130","125","34630","31990"
"In post","2022","Declared disabled","Unknown","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Male","Undeclared","45","45","37420","33550"
"In post","2022","Declared disabled","Unknown","Male","Unknown","380","355","34550","33170"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Female","Heterosexual / straight","21030","18740","31450","27570"
"In post","2022","Declared disabled","White","Female","LGBO","2320","2215","32290","28200"
"In post","2022","Declared disabled","White","Female","Undeclared","2185","1905","30610","27570"
"In post","2022","Declared disabled","White","Female","Unknown","1235","1025","29180","27570"
"In post","2022","Declared disabled","White","Male","Heterosexual / straight","13320","12685","33610","29030"
"In post","2022","Declared disabled","White","Male","LGBO","1965","1905","34050","29290"
"In post","2022","Declared disabled","White","Male","Undeclared","1370","1295","32610","28150"
"In post","2022","Declared disabled","White","Male","Unknown","820","765","31090","27570"
"In post","2022","Declared disabled","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Female","Heterosexual / straight","12270","11285","33240","29300"
"In post","2022","Declared non-disabled","Asian","Female","LGBO","230","210","30910","27570"
"In post","2022","Declared non-disabled","Asian","Female","Undeclared","855","750","30410","27570"
"In post","2022","Declared non-disabled","Asian","Female","Unknown","1260","1035","30280","27570"
"In post","2022","Declared non-disabled","Asian","Male","Heterosexual / straight","10225","9995","33960","30380"
"In post","2022","Declared non-disabled","Asian","Male","LGBO","280","270","36900","32960"
"In post","2022","Declared non-disabled","Asian","Male","Undeclared","490","470","32850","29320"
"In post","2022","Declared non-disabled","Asian","Male","Unknown","700","670","32720","27570"
"In post","2022","Declared non-disabled","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Female","Heterosexual / straight","7170","6860","32990","30950"
"In post","2022","Declared non-disabled","Black","Female","LGBO","125","125","33200","30140"
"In post","2022","Declared non-disabled","Black","Female","Undeclared","375","350","31710","29370"
"In post","2022","Declared non-disabled","Black","Female","Unknown","570","510","31090","30170"
"In post","2022","Declared non-disabled","Black","Male","Heterosexual / straight","4355","4285","33750","31060"
"In post","2022","Declared non-disabled","Black","Male","LGBO","95","90","34070","31060"
"In post","2022","Declared non-disabled","Black","Male","Undeclared","145","145","33920","31060"
"In post","2022","Declared non-disabled","Black","Male","Unknown","295","280","33180","31060"
"In post","2022","Declared non-disabled","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Female","Heterosexual / straight","3205","3020","34980","31020"
"In post","2022","Declared non-disabled","Mixed","Female","LGBO","250","245","35500","31040"
"In post","2022","Declared non-disabled","Mixed","Female","Undeclared","225","210","35020","30520"
"In post","2022","Declared non-disabled","Mixed","Female","Unknown","180","160","33320","27570"
"In post","2022","Declared non-disabled","Mixed","Male","Heterosexual / straight","2195","2155","37100","33080"
"In post","2022","Declared non-disabled","Mixed","Male","LGBO","240","235","36830","32650"
"In post","2022","Declared non-disabled","Mixed","Male","Undeclared","155","150","38450","31990"
"In post","2022","Declared non-disabled","Mixed","Male","Unknown","155","150","37010","33300"
"In post","2022","Declared non-disabled","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Female","Heterosexual / straight","840","790","35170","31060"
"In post","2022","Declared non-disabled","Other ethnicity","Female","LGBO","55","55","35210","31310"
"In post","2022","Declared non-disabled","Other ethnicity","Female","Undeclared","75","70","38330","31240"
"In post","2022","Declared non-disabled","Other ethnicity","Female","Unknown","75","60","33260","29350"
"In post","2022","Declared non-disabled","Other ethnicity","Male","Heterosexual / straight","645","635","37030","33000"
"In post","2022","Declared non-disabled","Other ethnicity","Male","LGBO","60","60","43670","36110"
"In post","2022","Declared non-disabled","Other ethnicity","Male","Undeclared","80","80","41480","35130"
"In post","2022","Declared non-disabled","Other ethnicity","Male","Unknown","60","60","35720","31260"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Female","Heterosexual / straight","970","880","32130","28310"
"In post","2022","Declared non-disabled","Undeclared","Female","LGBO","45","40","32240","31880"
"In post","2022","Declared non-disabled","Undeclared","Female","Undeclared","1880","1700","33380","29180"
"In post","2022","Declared non-disabled","Undeclared","Female","Unknown","1190","970","28950","27570"
"In post","2022","Declared non-disabled","Undeclared","Male","Heterosexual / straight","1085","1055","34910","31060"
"In post","2022","Declared non-disabled","Undeclared","Male","LGBO","85","80","36840","31650"
"In post","2022","Declared non-disabled","Undeclared","Male","Undeclared","2735","2625","37440","33300"
"In post","2022","Declared non-disabled","Undeclared","Male","Unknown","1065","1000","34800","31060"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Female","Heterosexual / straight","1130","1015","34490","29290"
"In post","2022","Declared non-disabled","Unknown","Female","LGBO","45","45","36850","30350"
"In post","2022","Declared non-disabled","Unknown","Female","Undeclared","235","215","33050","30710"
"In post","2022","Declared non-disabled","Unknown","Female","Unknown","3510","3080","29880","27570"
"In post","2022","Declared non-disabled","Unknown","Male","Heterosexual / straight","940","910","34930","31060"
"In post","2022","Declared non-disabled","Unknown","Male","LGBO","65","60","41300","33400"
"In post","2022","Declared non-disabled","Unknown","Male","Undeclared","260","245","39830","36250"
"In post","2022","Declared non-disabled","Unknown","Male","Unknown","2980","2890","33610","27570"
"In post","2022","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","White","Female","Heterosexual / straight","121410","110500","33820","28550"
"In post","2022","Declared non-disabled","White","Female","LGBO","6310","6115","33560","29250"
"In post","2022","Declared non-disabled","White","Female","Undeclared","9205","8175","32570","27570"
"In post","2022","Declared non-disabled","White","Female","Unknown","11695","9770","30850","27570"
"In post","2022","Declared non-disabled","White","Male","Heterosexual / straight","98180","95545","36900","32120"
"In post","2022","Declared non-disabled","White","Male","LGBO","6650","6535","37160","31990"
"In post","2022","Declared non-disabled","White","Male","Undeclared","6505","6225","36180","31800"
"In post","2022","Declared non-disabled","White","Male","Unknown","8565","8100","36380","31650"
"In post","2022","Declared non-disabled","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Female","Heterosexual / straight","520","475","32970","29520"
"In post","2022","Undeclared","Asian","Female","LGBO","20","15","[c]","[c]"
"In post","2022","Undeclared","Asian","Female","Undeclared","115","105","34720","29910"
"In post","2022","Undeclared","Asian","Female","Unknown","55","45","28650","27570"
"In post","2022","Undeclared","Asian","Male","Heterosexual / straight","495","480","33750","30500"
"In post","2022","Undeclared","Asian","Male","LGBO","25","20","[c]","[c]"
"In post","2022","Undeclared","Asian","Male","Undeclared","85","85","34960","31180"
"In post","2022","Undeclared","Asian","Male","Unknown","55","50","31560","27570"
"In post","2022","Undeclared","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
