"Status","Year","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","Heterosexual / straight","170","160","21860","21260"
"In post","2022","Analysis","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","55","50","21430","21510"
"In post","2022","Analysis","EO","Heterosexual / straight","540","515","27060","26680"
"In post","2022","Analysis","EO","LGBO","60","60","26310","25880"
"In post","2022","Analysis","EO","Undeclared","55","55","26690","26810"
"In post","2022","Analysis","EO","Unknown","220","205","26430","25790"
"In post","2022","Analysis","G6/G7","Heterosexual / straight","1895","1805","59800","57230"
"In post","2022","Analysis","G6/G7","LGBO","155","155","57960","55860"
"In post","2022","Analysis","G6/G7","Undeclared","245","235","60960","58040"
"In post","2022","Analysis","G6/G7","Unknown","520","495","55330","53220"
"In post","2022","Analysis","SCS level","Heterosexual / straight","145","140","88570","79990"
"In post","2022","Analysis","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","Heterosexual / straight","2735","2645","36520","36650"
"In post","2022","Analysis","SEO/HEO","LGBO","315","315","35670","34710"
"In post","2022","Analysis","SEO/HEO","Undeclared","325","315","36840","36660"
"In post","2022","Analysis","SEO/HEO","Unknown","940","915","35530","36580"
"In post","2022","Commercial","AA/AO","Heterosexual / straight","150","140","22470","21830"
"In post","2022","Commercial","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","Undeclared","35","30","21760","21840"
"In post","2022","Commercial","AA/AO","Unknown","90","80","23210","21690"
"In post","2022","Commercial","EO","Heterosexual / straight","530","510","26600","26350"
"In post","2022","Commercial","EO","LGBO","35","30","26690","26520"
"In post","2022","Commercial","EO","Undeclared","70","65","27130","26780"
"In post","2022","Commercial","EO","Unknown","125","125","26660","26590"
"In post","2022","Commercial","G6/G7","Heterosexual / straight","880","855","58260","55000"
"In post","2022","Commercial","G6/G7","LGBO","55","55","56210","54700"
"In post","2022","Commercial","G6/G7","Undeclared","125","125","58810","55070"
"In post","2022","Commercial","G6/G7","Unknown","1185","1170","64510","64500"
"In post","2022","Commercial","SCS level","Heterosexual / straight","155","155","104740","95180"
"In post","2022","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","160","155","118020","116730"
"In post","2022","Commercial","SEO/HEO","Heterosexual / straight","2015","1955","37180","37100"
"In post","2022","Commercial","SEO/HEO","LGBO","100","95","36340","36500"
"In post","2022","Commercial","SEO/HEO","Undeclared","285","275","38240","39650"
"In post","2022","Commercial","SEO/HEO","Unknown","420","405","37580","38070"
"In post","2022","Commercial","Unknown","Heterosexual / straight","130","130","40030","37560"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","AA/AO","Heterosexual / straight","300","270","21840","21250"
"In post","2022","Communications","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","Communications","AA/AO","Undeclared","45","40","21930","21840"
"In post","2022","Communications","AA/AO","Unknown","125","115","21770","21250"
"In post","2022","Communications","EO","Heterosexual / straight","1770","1710","26950","26820"
"In post","2022","Communications","EO","LGBO","150","150","26880","26820"
"In post","2022","Communications","EO","Undeclared","200","190","27250","26820"
"In post","2022","Communications","EO","Unknown","1120","1085","26890","26820"
"In post","2022","Communications","G6/G7","Heterosexual / straight","790","765","58620","56350"
"In post","2022","Communications","G6/G7","LGBO","65","65","58710","57680"
"In post","2022","Communications","G6/G7","Undeclared","135","130","58910","57430"
"In post","2022","Communications","G6/G7","Unknown","210","205","58510","55680"
"In post","2022","Communications","SCS level","Heterosexual / straight","90","85","91720","83570"
"In post","2022","Communications","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","SCS level","Unknown","30","30","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Heterosexual / straight","2175","2115","36730","34710"
"In post","2022","Communications","SEO/HEO","LGBO","210","210","36680","34110"
"In post","2022","Communications","SEO/HEO","Undeclared","230","225","36700","34980"
"In post","2022","Communications","SEO/HEO","Unknown","840","820","36070","33370"
"In post","2022","Communications","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Heterosexual / straight","1695","1485","22330","21260"
"In post","2022","Counter Fraud","AA/AO","LGBO","100","95","22170","21260"
"In post","2022","Counter Fraud","AA/AO","Undeclared","290","245","22360","21260"
"In post","2022","Counter Fraud","AA/AO","Unknown","675","565","22350","21260"
"In post","2022","Counter Fraud","EO","Heterosexual / straight","4390","4035","28080","27570"
"In post","2022","Counter Fraud","EO","LGBO","260","250","28170","27570"
"In post","2022","Counter Fraud","EO","Undeclared","585","525","28270","27570"
"In post","2022","Counter Fraud","EO","Unknown","1960","1795","28250","27570"
"In post","2022","Counter Fraud","G6/G7","Heterosexual / straight","895","860","59670","55800"
"In post","2022","Counter Fraud","G6/G7","LGBO","55","50","58360","55210"
"In post","2022","Counter Fraud","G6/G7","Undeclared","155","150","60740","58180"
"In post","2022","Counter Fraud","G6/G7","Unknown","210","200","58370","55210"
"In post","2022","Counter Fraud","SCS level","Heterosexual / straight","40","40","81580","79840"
"In post","2022","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Heterosexual / straight","3700","3520","36240","34290"
"In post","2022","Counter Fraud","SEO/HEO","LGBO","190","185","35800","33370"
"In post","2022","Counter Fraud","SEO/HEO","Undeclared","530","500","36670","35450"
"In post","2022","Counter Fraud","SEO/HEO","Unknown","1285","1240","36530","35120"
"In post","2022","Debt","AA/AO","Heterosexual / straight","2965","2585","21580","21260"
"In post","2022","Debt","AA/AO","LGBO","215","205","21500","21250"
"In post","2022","Debt","AA/AO","Undeclared","380","320","21840","21260"
"In post","2022","Debt","AA/AO","Unknown","1630","1450","21730","21250"
"In post","2022","Debt","EO","Heterosexual / straight","750","670","27640","27570"
"In post","2022","Debt","EO","LGBO","70","65","27660","26820"
"In post","2022","Debt","EO","Undeclared","95","85","28310","27570"
"In post","2022","Debt","EO","Unknown","305","280","28130","26820"
"In post","2022","Debt","G6/G7","Heterosexual / straight","35","35","58180","55210"
"In post","2022","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Debt","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","Heterosexual / straight","265","245","35070","33370"
"In post","2022","Debt","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Debt","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2022","Debt","SEO/HEO","Unknown","65","60","35940","33370"
"In post","2022","Digital, Data & Technology","AA/AO","Heterosexual / straight","650","630","21970","21380"
"In post","2022","Digital, Data & Technology","AA/AO","LGBO","55","55","21060","21280"
"In post","2022","Digital, Data & Technology","AA/AO","Undeclared","95","90","21970","21630"
"In post","2022","Digital, Data & Technology","AA/AO","Unknown","150","140","21730","21260"
