"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Female","40","35","26880","26380"
"In post","2022","Declared disabled","Analysis","EO","Male","40","40","27630","27680"
"In post","2022","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6/G7","Female","100","90","59410","57230"
"In post","2022","Declared disabled","Analysis","G6/G7","Male","90","85","60090","58260"
"In post","2022","Declared disabled","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Female","220","205","36280","36840"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Male","190","185","36950","36880"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Female","50","50","26930","26670"
"In post","2022","Declared disabled","Commercial","EO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Female","45","45","54800","54500"
"In post","2022","Declared disabled","Commercial","G6/G7","Male","40","40","60780","59730"
"In post","2022","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Female","140","135","37010","38030"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Male","105","105","37350","36820"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Female","40","30","21540","21690"
"In post","2022","Declared disabled","Communications","AA/AO","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Female","115","105","27480","26820"
"In post","2022","Declared disabled","Communications","EO","Male","90","85","26880","26820"
"In post","2022","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Female","55","55","57080","55210"
"In post","2022","Declared disabled","Communications","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Female","140","135","36240","33370"
"In post","2022","Declared disabled","Communications","SEO/HEO","Male","120","115","36260","33430"
"In post","2022","Declared disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Female","250","205","22470","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Male","170","155","22170","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","EO","Female","555","490","28230","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Male","335","310","28090","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Female","50","50","57890","55210"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Male","65","60","59920","55800"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Female","305","280","36120","34370"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Male","245","235","36110","33680"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","AA/AO","Female","405","325","21660","21260"
"In post","2022","Declared disabled","Debt","AA/AO","Male","230","210","21610","21260"
"In post","2022","Declared disabled","Debt","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","EO","Female","100","85","28080","27570"
"In post","2022","Declared disabled","Debt","EO","Male","45","40","27670","27570"
"In post","2022","Declared disabled","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Female","55","55","21590","21380"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Male","50","45","21870","21380"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Female","180","165","27590","26930"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Male","275","265","27490","27500"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Female","190","180","56310","54700"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Male","255","250","58050","56100"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Female","435","410","36310","35310"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Male","530","515","37320","36740"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","Female","125","95","21760","21260"
"In post","2022","Declared disabled","Finance","AA/AO","Male","55","50","21800","21260"
"In post","2022","Declared disabled","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Female","135","125","27270","26820"
"In post","2022","Declared disabled","Finance","EO","Male","85","80","26840","26930"
"In post","2022","Declared disabled","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6/G7","Female","110","105","58310","57260"
"In post","2022","Declared disabled","Finance","G6/G7","Male","105","105","57280","55640"
"In post","2022","Declared disabled","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","Female","270","250","36200","35450"
"In post","2022","Declared disabled","Finance","SEO/HEO","Male","225","215","36830","35980"
"In post","2022","Declared disabled","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","AA/AO","Female","60","50","21300","21300"
"In post","2022","Declared disabled","Grants Management","AA/AO","Male","40","35","21240","21300"
"In post","2022","Declared disabled","Grants Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","EO","Female","30","25","25650","25900"
"In post","2022","Declared disabled","Grants Management","EO","Male","15","10","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
