"Status","Year","Organisation","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","AA","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","AA","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","HEO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","SEO","Female","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Southern Scotland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","West Central Scotland","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire","G7","Female","[c]","[c]","[c]","[c]"
