"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","40","35","22250","21260"
"In post","2022","Declared disabled","Commercial","EO","100","90","26850","26670"
"In post","2022","Declared disabled","Commercial","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","60","60","52580","51540"
"In post","2022","Declared disabled","Commercial","HEO","145","140","32660","33000"
"In post","2022","Declared disabled","Commercial","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","195","190","41460","40650"
"In post","2022","Declared disabled","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","65","65","27960","27380"
"In post","2022","Declared disabled","Communications","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","50","50","53850","53360"
"In post","2022","Declared disabled","Communications","HEO","85","85","33900","33300"
"In post","2022","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","70","70","41960","41990"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AO","235","195","22500","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","575","510","28150","27570"
"In post","2022","Declared disabled","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HEO","135","130","33890","32620"
"In post","2022","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","50","50","22110","21380"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","395","370","27530","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","90","85","69570","68700"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","315","310","54790","54270"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","430","410","33570","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","420","405","41050","40520"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","35","35","57520","57620"
"In post","2022","Declared disabled","Economics","HEO","45","45","34550","34260"
"In post","2022","Declared disabled","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","105","95","22280","21730"
"In post","2022","Declared disabled","Finance","EO","250","235","26880","26670"
"In post","2022","Declared disabled","Finance","G6","50","50","66960","66690"
"In post","2022","Declared disabled","Finance","G7","165","160","54990","54540"
"In post","2022","Declared disabled","Finance","HEO","290","275","33660","33300"
"In post","2022","Declared disabled","Finance","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","225","210","40990","40580"
"In post","2022","Declared disabled","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","[c]","[c]","[c]","[c]"
