"Status","Year","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Heterosexual / straight","75","70","33710","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Unknown","30","25","28310","23230"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Heterosexual / straight","35","35","48250","47750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Heterosexual / straight","615","560","32760","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","LGBO","45","40","28770","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Undeclared","95","90","33130","31850"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","115","110","26740","24250"
