"Status","Year","Function_of_post","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Female","70","60","66580","65470"
"In post","2022","Analysis","Chancellor's other departments","London","Male","125","120","68140","57250"
"In post","2022","Analysis","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","Male","80","80","63390","58000"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","95","95","43000","36240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Male","175","170","44840","39570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Female","55","50","34990","33990"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Male","65","65","39680","39690"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","47070","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Male","85","85","49470","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","London","Female","40","35","47940","45540"
"In post","2022","Analysis","Department for Education","London","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Education","Outside London","Female","80","75","41850","41990"
"In post","2022","Analysis","Department for Education","Outside London","Male","55","55","43060","42500"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Female","230","215","31680","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Male","285","280","35710","30220"
"In post","2022","Analysis","Department for International Trade","London","Female","95","95","42420","32920"
"In post","2022","Analysis","Department for International Trade","London","Male","155","155","45150","47870"
"In post","2022","Analysis","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","Female","75","70","48200","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","London","Male","125","125","48030","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","London","Female","150","140","48350","53690"
"In post","2022","Analysis","Department for Transport","London","Male","175","170","47860","54110"
"In post","2022","Analysis","Department for Transport","Outside London","Female","40","40","32020","26350"
"In post","2022","Analysis","Department for Transport","Outside London","Male","40","40","34270","33350"
"In post","2022","Analysis","Department for Work and Pensions","London","Female","125","115","45530","39000"
"In post","2022","Analysis","Department for Work and Pensions","London","Male","130","125","46720","40290"
"In post","2022","Analysis","Department for Work and Pensions","Outside London","Female","205","185","41840","37250"
"In post","2022","Analysis","Department for Work and Pensions","Outside London","Male","215","210","40530","35590"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","London","Female","215","200","51820","53360"
"In post","2022","Analysis","Department of Health and Social Care","London","Male","140","140","52030","53360"
