"Status","Year","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","Heterosexual / straight","60","55","36490","33840"
"In post","2022","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Heterosexual / straight","145","140","36030","35900"
"In post","2022","Analysis","East of England","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","East of England","Unknown","200","190","35580","31920"
"In post","2022","Analysis","London","Heterosexual / straight","2630","2550","50230","46710"
"In post","2022","Analysis","London","LGBO","265","260","47160","43770"
"In post","2022","Analysis","London","Undeclared","375","360","51160","53180"
"In post","2022","Analysis","London","Unknown","485","475","46960","41750"
"In post","2022","Analysis","North East (England)","Heterosexual / straight","130","125","40620","36490"
"In post","2022","Analysis","North East (England)","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","North East (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","Unknown","30","25","[c]","[c]"
"In post","2022","Analysis","North West (England)","Heterosexual / straight","335","325","40370","37380"
"In post","2022","Analysis","North West (England)","LGBO","45","45","36830","33370"
"In post","2022","Analysis","North West (England)","Undeclared","40","35","40880","40520"
"In post","2022","Analysis","North West (England)","Unknown","60","60","36660","33370"
"In post","2022","Analysis","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Heterosexual / straight","95","95","44470","40340"
"In post","2022","Analysis","Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Scotland","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Scotland","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","South East (England)","Heterosexual / straight","535","505","39190","38070"
"In post","2022","Analysis","South East (England)","LGBO","50","50","35190","31320"
"In post","2022","Analysis","South East (England)","Undeclared","35","35","33670","30710"
"In post","2022","Analysis","South East (England)","Unknown","375","360","40960","38340"
"In post","2022","Analysis","South West (England)","Heterosexual / straight","265","250","38600","36000"
"In post","2022","Analysis","South West (England)","LGBO","30","30","34560","32010"
"In post","2022","Analysis","South West (England)","Undeclared","35","35","37540","36700"
"In post","2022","Analysis","South West (England)","Unknown","180","175","35480","32010"
"In post","2022","Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wales","Heterosexual / straight","840","800","37240","36840"
"In post","2022","Analysis","Wales","LGBO","95","95","36320","32160"
"In post","2022","Analysis","Wales","Undeclared","65","65","35790","31320"
"In post","2022","Analysis","Wales","Unknown","310","295","38160","36840"
"In post","2022","Analysis","West Midlands (England)","Heterosexual / straight","80","80","40220","38650"
