"Status","Year","Age","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA/AO","Female","265","255","21570","21260"
"In post","2022","16-19","Declared non-disabled","AA/AO","Male","215","205","21270","21260"
"In post","2022","16-19","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Female","70","70","25200","26250"
"In post","2022","16-19","Declared non-disabled","EO","Male","85","85","23290","24300"
"In post","2022","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Female","185","175","21620","21250"
"In post","2022","16-19","Unknown","AA/AO","Male","180","170","21490","21250"
"In post","2022","16-19","Unknown","EO","Female","45","45","25190","25000"
"In post","2022","16-19","Unknown","EO","Male","85","85","21590","21150"
