"Status","Year","Age","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Heterosexual / straight","30","30","21100","20680"
"In post","2022","16-19","Declared disabled","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Heterosexual / straight","85","80","23010","21260"
"In post","2022","16-19","Declared non-disabled","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Heterosexual / straight","445","440","21860","21260"
"In post","2022","16-19","Declared non-disabled","White","LGBO","40","40","22720","21760"
"In post","2022","16-19","Declared non-disabled","White","Undeclared","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Undeclared","[c]","[c]","[c]","[c]"
