"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA/AO","Female","Heterosexual / straight","3710","3145","22480","21300"
"In post","2022","Asian","AA/AO","Female","LGBO","100","85","23240","21680"
"In post","2022","Asian","AA/AO","Female","Undeclared","405","335","22740","21680"
"In post","2022","Asian","AA/AO","Female","Unknown","655","495","22480","21260"
"In post","2022","Asian","AA/AO","Male","Heterosexual / straight","3000","2860","22900","21260"
"In post","2022","Asian","AA/AO","Male","LGBO","85","85","22830","21260"
"In post","2022","Asian","AA/AO","Male","Undeclared","200","190","22560","21260"
"In post","2022","Asian","AA/AO","Male","Unknown","355","330","22630","21260"
"In post","2022","Asian","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Female","Heterosexual / straight","4955","4535","28410","27570"
"In post","2022","Asian","EO","Female","LGBO","105","95","28400","27570"
"In post","2022","Asian","EO","Female","Undeclared","385","340","28620","28650"
"In post","2022","Asian","EO","Female","Unknown","665","560","28690","27570"
"In post","2022","Asian","EO","Male","Heterosexual / straight","4025","3950","28190","27570"
"In post","2022","Asian","EO","Male","LGBO","100","95","28050","27570"
"In post","2022","Asian","EO","Male","Undeclared","200","190","28490","27570"
"In post","2022","Asian","EO","Male","Unknown","385","370","28380","27570"
"In post","2022","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","Female","Heterosexual / straight","1770","1710","58290","56120"
"In post","2022","Asian","G6/G7","Female","LGBO","35","35","56070","54400"
"In post","2022","Asian","G6/G7","Female","Undeclared","105","105","57830","56340"
"In post","2022","Asian","G6/G7","Female","Unknown","155","140","59660","58550"
"In post","2022","Asian","G6/G7","Male","Heterosexual / straight","1470","1450","59450","57460"
"In post","2022","Asian","G6/G7","Male","LGBO","70","70","57760","55610"
"In post","2022","Asian","G6/G7","Male","Undeclared","70","70","59330","58600"
"In post","2022","Asian","G6/G7","Male","Unknown","160","155","59990","58130"
"In post","2022","Asian","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Heterosexual / straight","145","135","89600","81800"
"In post","2022","Asian","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Heterosexual / straight","130","125","92220","90000"
"In post","2022","Asian","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
