"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA/AO","Heterosexual / straight","645","560","22740","21430"
"In post","2022","Declared disabled","Asian","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","AA/AO","Undeclared","70","60","22630","21260"
"In post","2022","Declared disabled","Asian","AA/AO","Unknown","75","60","22590","21710"
"In post","2022","Declared disabled","Asian","EO","Heterosexual / straight","935","860","28610","27570"
"In post","2022","Declared disabled","Asian","EO","LGBO","35","35","28620","27850"
"In post","2022","Declared disabled","Asian","EO","Undeclared","65","60","28350","27570"
"In post","2022","Declared disabled","Asian","EO","Unknown","70","60","28700","27570"
"In post","2022","Declared disabled","Asian","G6/G7","Heterosexual / straight","255","245","59060","57460"
"In post","2022","Declared disabled","Asian","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO/HEO","Heterosexual / straight","665","640","37450","36650"
"In post","2022","Declared disabled","Asian","SEO/HEO","LGBO","35","35","37530","36330"
"In post","2022","Declared disabled","Asian","SEO/HEO","Undeclared","50","45","36540","34670"
"In post","2022","Declared disabled","Asian","SEO/HEO","Unknown","35","35","39110","40180"
"In post","2022","Declared disabled","Asian","Unknown","Heterosexual / straight","120","110","29850","28200"
"In post","2022","Declared disabled","Asian","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","AA/AO","Heterosexual / straight","380","345","24160","23720"
"In post","2022","Declared disabled","Black","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","AA/AO","Undeclared","40","35","23490","23420"
"In post","2022","Declared disabled","Black","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","EO","Heterosexual / straight","610","575","29460","29370"
"In post","2022","Declared disabled","Black","EO","LGBO","30","30","29200","29410"
"In post","2022","Declared disabled","Black","EO","Undeclared","40","40","29670","30300"
"In post","2022","Declared disabled","Black","EO","Unknown","50","45","30580","31060"
"In post","2022","Declared disabled","Black","G6/G7","Heterosexual / straight","125","125","58360","56560"
"In post","2022","Declared disabled","Black","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","Heterosexual / straight","385","375","37820","36990"
"In post","2022","Declared disabled","Black","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Heterosexual / straight","235","225","32510","30310"
"In post","2022","Declared disabled","Black","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA/AO","Heterosexual / straight","220","200","22720","21260"
"In post","2022","Declared disabled","Mixed","AA/AO","LGBO","50","45","23820","21680"
"In post","2022","Declared disabled","Mixed","AA/AO","Undeclared","30","30","22750","21480"
"In post","2022","Declared disabled","Mixed","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","EO","Heterosexual / straight","275","255","28590","27570"
"In post","2022","Declared disabled","Mixed","EO","LGBO","60","60","27550","27570"
"In post","2022","Declared disabled","Mixed","EO","Undeclared","50","45","28430","27570"
"In post","2022","Declared disabled","Mixed","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6/G7","Heterosexual / straight","120","115","58230","56420"
"In post","2022","Declared disabled","Mixed","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Heterosexual / straight","240","230","37140","35700"
"In post","2022","Declared disabled","Mixed","SEO/HEO","LGBO","60","60","36890","34890"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Undeclared","40","40","36870","35900"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Heterosexual / straight","110","105","32030","30210"
"In post","2022","Declared disabled","Mixed","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Heterosexual / straight","40","35","23370","21410"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","EO","Heterosexual / straight","80","75","28750","27570"
"In post","2022","Declared disabled","Other ethnicity","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Heterosexual / straight","35","35","59910","55350"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","Heterosexual / straight","70","70","35950","35750"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","AA/AO","Heterosexual / straight","115","105","22920","21680"
"In post","2022","Declared disabled","Undeclared","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","AA/AO","Undeclared","350","310","22530","21260"
"In post","2022","Declared disabled","Undeclared","AA/AO","Unknown","90","75","21990","21260"
"In post","2022","Declared disabled","Undeclared","EO","Heterosexual / straight","140","130","28300","27570"
"In post","2022","Declared disabled","Undeclared","EO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","EO","Undeclared","415","380","28150","27570"
"In post","2022","Declared disabled","Undeclared","EO","Unknown","105","95","29540","27570"
"In post","2022","Declared disabled","Undeclared","G6/G7","Heterosexual / straight","30","30","58810","57030"
"In post","2022","Declared disabled","Undeclared","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","G6/G7","Undeclared","140","135","58830","56600"
"In post","2022","Declared disabled","Undeclared","G6/G7","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","Heterosexual / straight","90","90","37930","37270"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","Undeclared","355","335","37190","35980"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","Unknown","40","40","36890","36260"
"In post","2022","Declared disabled","Undeclared","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Undeclared","95","90","33730","33700"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Heterosexual / straight","105","90","22180","21840"
"In post","2022","Declared disabled","Unknown","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Unknown","280","240","23040","21680"
"In post","2022","Declared disabled","Unknown","EO","Heterosexual / straight","55","50","27890","27570"
"In post","2022","Declared disabled","Unknown","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Unknown","275","250","29980","28430"
"In post","2022","Declared disabled","Unknown","G6/G7","Heterosexual / straight","40","35","59510","55890"
"In post","2022","Declared disabled","Unknown","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Unknown","70","65","58800","56040"
"In post","2022","Declared disabled","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Heterosexual / straight","85","80","36860","34340"
"In post","2022","Declared disabled","Unknown","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Undeclared","35","30","38300","36920"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Unknown","185","170","37950","37610"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","35","35","35320","34340"
"In post","2022","Declared disabled","White","AA/AO","Heterosexual / straight","9935","8715","22300","21260"
"In post","2022","Declared disabled","White","AA/AO","LGBO","1085","1025","22690","21260"
"In post","2022","Declared disabled","White","AA/AO","Undeclared","1200","1020","22120","21260"
"In post","2022","Declared disabled","White","AA/AO","Unknown","845","710","22310","21260"
"In post","2022","Declared disabled","White","EO","Heterosexual / straight","9995","9025","27730","27570"
"In post","2022","Declared disabled","White","EO","LGBO","1160","1115","27730","27570"
"In post","2022","Declared disabled","White","EO","Undeclared","1070","955","27820","27570"
"In post","2022","Declared disabled","White","EO","Unknown","650","560","28020","27570"
"In post","2022","Declared disabled","White","G6/G7","Heterosexual / straight","3395","3265","58580","56100"
"In post","2022","Declared disabled","White","G6/G7","LGBO","505","495","57820","55210"
"In post","2022","Declared disabled","White","G6/G7","Undeclared","320","305","60010","57690"
"In post","2022","Declared disabled","White","G6/G7","Unknown","170","160","58210","55860"
"In post","2022","Declared disabled","White","SCS level","Heterosexual / straight","335","325","90030","81220"
"In post","2022","Declared disabled","White","SCS level","LGBO","50","50","86250","77410"
"In post","2022","Declared disabled","White","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","White","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","SEO/HEO","Heterosexual / straight","8350","7935","36960","35980"
