"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Heterosexual / straight","70","65","26910","26500"
"In post","2022","Declared disabled","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","Heterosexual / straight","50","45","52400","51280"
"In post","2022","Declared disabled","Commercial","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HEO","Heterosexual / straight","105","100","32600","33170"
"In post","2022","Declared disabled","Commercial","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","Heterosexual / straight","160","155","41640","40660"
"In post","2022","Declared disabled","Commercial","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Heterosexual / straight","50","45","27810","27030"
"In post","2022","Declared disabled","Communications","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","Heterosexual / straight","35","35","54100","54160"
"In post","2022","Declared disabled","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HEO","Heterosexual / straight","55","55","34290","33300"
"In post","2022","Declared disabled","Communications","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","Heterosexual / straight","50","50","42080","41870"
"In post","2022","Declared disabled","Communications","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AO","Heterosexual / straight","165","140","22590","21260"
"In post","2022","Declared disabled","Counter Fraud","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AO","Undeclared","35","30","22260","21260"
"In post","2022","Declared disabled","Counter Fraud","AO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","EO","Heterosexual / straight","410","365","28050","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","LGBO","35","35","28140","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Undeclared","70","60","27950","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","55","45","29190","27570"
"In post","2022","Declared disabled","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HEO","Heterosexual / straight","105","95","33730","32540"
"In post","2022","Declared disabled","Counter Fraud","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Heterosexual / straight","40","40","22180","21380"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Heterosexual / straight","305","285","27560","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","LGBO","35","35","26840","26700"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Undeclared","35","35","27940","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Heterosexual / straight","65","65","69700","70010"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Heterosexual / straight","225","220","54580","53710"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","LGBO","40","35","55720","55360"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Undeclared","35","35","55120","54600"
"In post","2022","Declared disabled","Digital, Data and Technology","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Heterosexual / straight","310","295","33620","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","LGBO","45","45","32920","33210"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Undeclared","50","50","33530","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","HEO","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Heterosexual / straight","290","280","41360","40580"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","LGBO","50","50","39820","40200"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Undeclared","50","50","41270","40520"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6","Unknown","[c]","[c]","[c]","[c]"
