"Status","Year","Age","Disability","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Lincolnshire","[c]","[c]","[c]","[c]"
