"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA","Heterosexual / straight","85","80","19590","19450"
"In post","2022","16-19","Declared non-disabled","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA","Undeclared","10","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AO","Heterosexual / straight","305","300","21960","21260"
"In post","2022","16-19","Declared non-disabled","AO","LGBO","30","30","23300","21840"
"In post","2022","16-19","Declared non-disabled","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AO","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Heterosexual / straight","145","145","24100","25000"
"In post","2022","16-19","Declared non-disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
