"Status","Year","Disability","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Economics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education (excl. agencies)","Policy","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Policy","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Driver and Vehicle Standards Agency","Operational Research","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Actuary's Department","Other","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","40","40","45810","40520"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intellectual Property Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence (excl. agencies)","Statistics","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","National Savings and Investments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","National Savings and Investments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Other","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Public Guardian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Planning Inspectorate","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Registers of Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","The Insolvency Service","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","The Insolvency Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","The Insolvency Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Space Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Space Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Operational Delivery","40","40","31820","31700"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Social Research","70","65","38730","38340"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Statistics","65","60","41140","38340"
"In post","2022","Declared disabled","Analysis","Valuation Office Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Valuation Office Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Valuation Office Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Valuation Office Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Animal and Plant Health Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office (excl. agencies)","Unknown","35","35","54840","54700"
"In post","2022","Declared disabled","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Crown Commercial Service","Commercial","30","30","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Electronics and Components Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Other","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Project Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Science and Technology Laboratory","Commercial","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Commercial","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport (excl. agencies)","Commercial","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","5","5","[c]","[c]"
