"Status","Year","Disability","Ethnicity","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Outside London","215","190","27100","26820"
"In post","2022","Declared disabled","Asian","East of England","Outside London","130","115","30660","27570"
"In post","2022","Declared disabled","Asian","London","London","1395","1295","36830","31880"
"In post","2022","Declared disabled","Asian","North East (England)","Outside London","50","45","28340","27570"
"In post","2022","Declared disabled","Asian","North West (England)","Outside London","305","280","28150","27570"
"In post","2022","Declared disabled","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Outside London","55","50","30100","27230"
"In post","2022","Declared disabled","Asian","South East (England)","Outside London","120","110","30180","28650"
"In post","2022","Declared disabled","Asian","South West (England)","Outside London","65","60","32390","27570"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Outside London","40","35","31960","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Outside London","480","445","28580","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Outside London","240","220","28620","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","Outside London","75","70","27760","27570"
"In post","2022","Declared disabled","Black","East of England","Outside London","90","85","30600","29290"
"In post","2022","Declared disabled","Black","London","London","1345","1285","34590","31060"
"In post","2022","Declared disabled","Black","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Outside London","75","70","30850","27570"
"In post","2022","Declared disabled","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","Outside London","85","80","31320","27870"
"In post","2022","Declared disabled","Black","South West (England)","Outside London","55","50","31280","28200"
"In post","2022","Declared disabled","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","Outside London","200","180","28770","27570"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","Outside London","70","65","28740","27190"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","Outside London","80","75","28010","27350"
"In post","2022","Declared disabled","Mixed","East of England","Outside London","70","65","31300","29270"
"In post","2022","Declared disabled","Mixed","London","London","490","470","39810","34550"
"In post","2022","Declared disabled","Mixed","North East (England)","Outside London","40","40","31650","28570"
"In post","2022","Declared disabled","Mixed","North West (England)","Outside London","170","155","29270","27570"
"In post","2022","Declared disabled","Mixed","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","Outside London","40","40","35010","28460"
"In post","2022","Declared disabled","Mixed","South East (England)","Outside London","120","115","32540","29290"
"In post","2022","Declared disabled","Mixed","South West (England)","Outside London","90","85","33380","30070"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Wales","Outside London","75","70","28370","26590"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","Outside London","95","85","28580","27570"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","Outside London","100","95","31140","27570"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East of England","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","London","175","170","40030","34260"
"In post","2022","Declared disabled","Other ethnicity","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","Outside London","35","35","32180","27570"
"In post","2022","Declared disabled","Other ethnicity","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Wales","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","West Midlands (England)","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","East Midlands (England)","Outside London","110","105","28620","27470"
"In post","2022","Declared disabled","Undeclared","East of England","Outside London","110","105","30130","29170"
"In post","2022","Declared disabled","Undeclared","London","London","410","385","39210","33020"
"In post","2022","Declared disabled","Undeclared","North East (England)","Outside London","115","105","30140","27570"
"In post","2022","Declared disabled","Undeclared","North West (England)","Outside London","280","250","29050","27570"
"In post","2022","Declared disabled","Undeclared","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","Outside London","135","125","31810","27570"
"In post","2022","Declared disabled","Undeclared","South East (England)","Outside London","220","200","30970","28470"
"In post","2022","Declared disabled","Undeclared","South West (England)","Outside London","260","245","33670","31410"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Wales","Outside London","110","100","29860","27570"
"In post","2022","Declared disabled","Undeclared","West Midlands (England)","Outside London","150","135","29290","27570"
"In post","2022","Declared disabled","Undeclared","Yorkshire and The Humber","Outside London","165","145","30460","27570"
"In post","2022","Declared disabled","Unknown","East Midlands (England)","Outside London","55","50","28740","27380"
"In post","2022","Declared disabled","Unknown","East of England","Outside London","45","40","28730","24880"
"In post","2022","Declared disabled","Unknown","London","London","260","250","40300","36250"
"In post","2022","Declared disabled","Unknown","North East (England)","Outside London","85","70","26370","22200"
"In post","2022","Declared disabled","Unknown","North West (England)","Outside London","145","130","29480","26870"
"In post","2022","Declared disabled","Unknown","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Scotland","Outside London","270","240","32920","33070"
"In post","2022","Declared disabled","Unknown","South East (England)","Outside London","105","95","31230","27570"
"In post","2022","Declared disabled","Unknown","South West (England)","Outside London","110","100","34120","29080"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Wales","Outside London","55","45","30760","27130"
"In post","2022","Declared disabled","Unknown","West Midlands (England)","Outside London","75","70","29750","27570"
"In post","2022","Declared disabled","Unknown","Yorkshire and The Humber","Outside London","65","60","30650","26780"
"In post","2022","Declared disabled","White","East Midlands (England)","Outside London","2405","2205","29460","27570"
"In post","2022","Declared disabled","White","East of England","Outside London","2245","2050","30280","27570"
