"Status","Year","Profession_of_post","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Outside London","Female","75","70","40100","37720"
"In post","2022","Commercial","East Midlands (England)","Outside London","Male","50","50","45120","42920"
"In post","2022","Commercial","East of England","Outside London","Female","115","105","37030","36580"
"In post","2022","Commercial","East of England","Outside London","Male","85","85","41360","37400"
"In post","2022","Commercial","London","London","Female","580","565","44670","41500"
"In post","2022","Commercial","London","London","Male","520","510","48660","45020"
"In post","2022","Commercial","North East (England)","Outside London","Female","100","90","36350","36500"
"In post","2022","Commercial","North East (England)","Outside London","Male","85","85","40350","36500"
"In post","2022","Commercial","North West (England)","Outside London","Female","385","360","36460","33370"
"In post","2022","Commercial","North West (England)","Outside London","Male","245","240","38420","36780"
"In post","2022","Commercial","Northern Ireland","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Male","30","30","52140","51040"
"In post","2022","Commercial","Scotland","Outside London","Female","145","135","34170","33000"
"In post","2022","Commercial","Scotland","Outside London","Male","150","145","35900","33930"
"In post","2022","Commercial","South East (England)","Outside London","Female","275","260","36550","34900"
"In post","2022","Commercial","South East (England)","Outside London","Male","200","195","39610","38650"
"In post","2022","Commercial","South West (England)","Outside London","Female","1000","935","37880","35560"
"In post","2022","Commercial","South West (England)","Outside London","Male","860","845","41750","39860"
"In post","2022","Commercial","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","Female","185","170","34680","31850"
"In post","2022","Commercial","Wales","Outside London","Male","185","180","35690","31850"
"In post","2022","Commercial","West Midlands (England)","Outside London","Female","165","160","38120","36500"
"In post","2022","Commercial","West Midlands (England)","Outside London","Male","115","115","38350","35610"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Female","360","340","38800","36500"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Male","270","265","38690","36500"
"In post","2022","Communications","East Midlands (England)","Outside London","Female","70","65","38760","36500"
"In post","2022","Communications","East Midlands (England)","Outside London","Male","35","35","38590","39060"
"In post","2022","Communications","East of England","Outside London","Female","40","40","35310","31710"
"In post","2022","Communications","East of England","Outside London","Male","40","40","33820","33000"
"In post","2022","Communications","London","London","Female","1330","1280","46190","42710"
"In post","2022","Communications","London","London","Male","885","880","47510","42950"
"In post","2022","Communications","North East (England)","Outside London","Female","65","60","34520","32880"
"In post","2022","Communications","North East (England)","Outside London","Male","35","35","38490","36960"
"In post","2022","Communications","North West (England)","Outside London","Female","145","140","37130","35410"
"In post","2022","Communications","North West (England)","Outside London","Male","90","90","36860","34880"
"In post","2022","Communications","Northern Ireland","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Female","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Female","50","45","37660","36120"
