"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Female","215","205","45430","40930"
"In post","2022","Asian","Analysis","London","Male","230","225","45890","42260"
"In post","2022","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Male","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","Female","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","Male","25","20","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Female","85","85","45040","40600"
"In post","2022","Asian","Commercial","London","Male","75","75","49900","44080"
"In post","2022","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Female","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Female","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Female","35","30","30570","26820"
"In post","2022","Asian","Communications","East Midlands (England)","Male","55","55","27820","26820"
"In post","2022","Asian","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Female","95","90","43380","40000"
"In post","2022","Asian","Communications","London","Male","55","55","43420","40530"
"In post","2022","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Female","15","15","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Female","45","45","30870","26820"
"In post","2022","Asian","Communications","North West (England)","Male","65","65","29960","26820"
"In post","2022","Asian","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Female","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Male","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Female","70","65","28450","26590"
"In post","2022","Asian","Communications","West Midlands (England)","Male","85","80","28110","26590"
"In post","2022","Asian","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Female","45","45","30070","26820"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Male","85","80","29960","26820"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Female","30","30","30670","30360"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Male","40","35","33830","33080"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Female","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Male","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Female","375","330","31330","31020"
"In post","2022","Asian","Counter Fraud","London","Male","270","260","34340","31060"
"In post","2022","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Female","40","35","29590","27570"
"In post","2022","Asian","Counter Fraud","North West (England)","Male","80","80","31600","27570"
"In post","2022","Asian","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Female","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Male","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Female","45","40","27840","28550"
"In post","2022","Asian","Counter Fraud","South East (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Female","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Female","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Male","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Female","120","115","28900","27570"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Male","100","95","29130","27570"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Female","60","55","28160","27570"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Male","75","70","30250","27570"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","East Midlands (England)","Female","30","30","24980","26400"
"In post","2022","Asian","Debt","East Midlands (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Debt","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","East of England","Female","20","15","[c]","[c]"
"In post","2022","Asian","Debt","East of England","Male","5","5","[c]","[c]"
"In post","2022","Asian","Debt","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","London","Female","80","65","27300","26400"
"In post","2022","Asian","Debt","London","Male","40","35","30760","26400"
"In post","2022","Asian","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","North East (England)","Female","10","5","[c]","[c]"
"In post","2022","Asian","Debt","North East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Debt","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","North West (England)","Female","25","20","[c]","[c]"
"In post","2022","Asian","Debt","North West (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Debt","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Scotland","Female","15","15","[c]","[c]"
"In post","2022","Asian","Debt","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Asian","Debt","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Female","45","35","25400","25110"
"In post","2022","Asian","Debt","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Wales","Female","5","5","[c]","[c]"
"In post","2022","Asian","Debt","Wales","Male","10","10","[c]","[c]"
