"Status","Year","Disability","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Female","700","635","43030","39750"
"In post","2022","Declared disabled","Attorney General's Departments","Male","370","355","45530","48830"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Female","510","490","42640","38580"
"In post","2022","Declared disabled","Cabinet Office","Male","400","395","46240","40590"
"In post","2022","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Female","15","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","735","690","38930","34500"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","530","515","41320","39490"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Female","105","100","46000","38020"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Male","65","65","46550","39410"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Female","490","455","41540","37100"
"In post","2022","Declared disabled","Department for Education","Male","290","285","41630","36960"
"In post","2022","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Female","855","795","34450","30220"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Male","570","550","36030","32560"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Female","130","125","45570","42220"
"In post","2022","Declared disabled","Department for International Trade","Male","110","110","46710","41300"
"In post","2022","Declared disabled","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Female","240","235","40670","36340"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Male","190","190","41660","38160"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Female","760","635","28040","21840"
"In post","2022","Declared disabled","Department for Transport","Male","625","585","32460","26830"
"In post","2022","Declared disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Female","10760","9150","27360","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Male","5365","5040","27980","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Female","410","385","40340","36330"
"In post","2022","Declared disabled","Department of Health and Social Care","Male","190","185","44660","36820"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Male","10","5","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Female","50","45","40010","37350"
"In post","2022","Declared disabled","Food Standards Agency","Male","60","60","36220","32350"
"In post","2022","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Female","410","395","44100","39220"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Male","375","370","44710","38600"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Female","430","375","29290","27130"
"In post","2022","Declared disabled","HM Land Registry","Male","235","215","31210","27130"
"In post","2022","Declared disabled","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Revenue and Customs","Female","3650","3205","32310","28920"
"In post","2022","Declared disabled","HM Revenue and Customs","Male","2745","2585","33900","33080"
"In post","2022","Declared disabled","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Female","170","165","43640","39690"
"In post","2022","Declared disabled","HM Treasury","Male","105","105","49170","52500"
"In post","2022","Declared disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Female","1650","1495","31820","28650"
"In post","2022","Declared disabled","Home Office","Male","1380","1315","32600","28650"
"In post","2022","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Female","2285","2160","32770","29670"
"In post","2022","Declared disabled","Ministry of Defence","Male","2645","2580","34530","33000"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","Female","6480","5970","29520","26850"
"In post","2022","Declared disabled","Ministry of Justice","Male","3870","3670","31530","29970"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Female","120","115","37170","36310"
"In post","2022","Declared disabled","National Crime Agency","Male","130","130","39900","37360"
"In post","2022","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Female","105","100","46280","51360"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Male","45","45","47450","39660"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Female","40","40","37780","30950"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Male","40","40","35830","33400"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","Female","1065","1005","36360","31540"
"In post","2022","Declared disabled","Scottish Government","Male","915","875","37000","35000"
"In post","2022","Declared disabled","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
