"Status","Year","Ethnicity","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","London","Heterosexual / straight","380","370","45600","41750"
"In post","2022","Asian","Analysis","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Analysis","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Outside London","Heterosexual / straight","155","150","36190","33700"
"In post","2022","Asian","Analysis","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Heterosexual / straight","135","130","48190","41750"
"In post","2022","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Heterosexual / straight","115","115","35990","33370"
"In post","2022","Asian","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Heterosexual / straight","125","120","43750","40530"
"In post","2022","Asian","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Heterosexual / straight","455","445","29390","26820"
"In post","2022","Asian","Communications","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Unknown","70","70","28620","26820"
"In post","2022","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Heterosexual / straight","475","445","33120","31060"
"In post","2022","Asian","Counter Fraud","London","LGBO","10","10","[c]","[c]"
