"Status","Year","Age","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","145","140","25510","25170"
"In post","2022","16-19","Outside London","1095","1060","21420","21250"
"In post","2022","16-19","Unknown","35","35","18030","16720"
"In post","2022","20-29","London","23955","23800","36640","33710"
"In post","2022","20-29","Outside London","59490","58495","26960","26130"
"In post","2022","20-29","Overseas","325","325","35670","33230"
"In post","2022","20-29","Unknown","805","800","29380","28980"
"In post","2022","30-39","London","25205","24495","46210","42470"
"In post","2022","30-39","Outside London","84625","80115","31670","27700"
"In post","2022","30-39","Overseas","1035","1030","46720","49920"
"In post","2022","30-39","Unknown","665","655","36750","32700"
"In post","2022","40-49","London","22775","21675","48960","43810"
"In post","2022","40-49","Outside London","91905","85915","34130","29430"
"In post","2022","40-49","Overseas","1155","1145","52570","54020"
"In post","2022","40-49","Unknown","660","645","39170","33570"
"In post","2022","50-59","London","24145","23305","45250","38360"
"In post","2022","50-59","Outside London","117060","109310","33360","28200"
"In post","2022","50-59","Overseas","965","960","52380","52400"
"In post","2022","50-59","Unknown","865","845","39420","34290"
"In post","2022","60-64","London","6180","5530","41070","33910"
"In post","2022","60-64","Outside London","33985","27710","30480","27570"
"In post","2022","60-64","Overseas","175","175","56030","54330"
"In post","2022","60-64","Unknown","230","210","37480","33570"
"In post","2022","65+","London","2425","2005","37780","31060"
"In post","2022","65+","Outside London","10075","7610","29570","26780"
"In post","2022","65+","Overseas","30","30","44570","34710"
"In post","2022","65+","Unknown","55","45","33920","30780"
"In post","2022","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Outside London","20","15","26270","27570"
"Leaver CS","2022","16-19","London","25","[c]","22720","21120"
"Leaver CS","2022","16-19","Outside London","150","[c]","20830","21050"
"Leaver CS","2022","16-19","Unknown","20","[c]","19680","18310"
"Leaver CS","2022","20-29","London","3075","[c]","31110","30310"
"Leaver CS","2022","20-29","Outside London","7305","[c]","24560","22040"
"Leaver CS","2022","20-29","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","300","[c]","25130","21840"
"Leaver CS","2022","30-39","London","2180","[c]","42620","39840"
"Leaver CS","2022","30-39","Outside London","5575","[c]","30210","27570"
"Leaver CS","2022","30-39","Overseas","30","[c]","40990","38860"
"Leaver CS","2022","30-39","Unknown","290","[c]","31130","27780"
"Leaver CS","2022","40-49","London","1405","[c]","49490","45200"
"Leaver CS","2022","40-49","Outside London","4300","[c]","33190","27570"
"Leaver CS","2022","40-49","Overseas","35","[c]","42340","40120"
"Leaver CS","2022","40-49","Unknown","180","[c]","33960","27570"
"Leaver CS","2022","50-59","London","1385","[c]","48880","41030"
"Leaver CS","2022","50-59","Outside London","6615","[c]","33520","27570"
"Leaver CS","2022","50-59","Overseas","30","[c]","49930","46600"
"Leaver CS","2022","50-59","Unknown","180","[c]","39640","32700"
"Leaver CS","2022","60-64","London","925","[c]","47860","39950"
"Leaver CS","2022","60-64","Outside London","5155","[c]","33710","27570"
"Leaver CS","2022","60-64","Overseas","30","[c]","55960","47990"
"Leaver CS","2022","60-64","Unknown","145","[c]","35210","30780"
"Leaver CS","2022","65+","London","650","[c]","39010","31060"
"Leaver CS","2022","65+","Outside London","4095","[c]","29040","26180"
"Leaver CS","2022","65+","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","90","[c]","28680","22690"
"Leaver CS","2022","Unknown","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Outside London","15","[c]","20570","19490"
"Leaver Dept.","2022","20-29","London","3645","[c]","34420","32330"
"Leaver Dept.","2022","20-29","Outside London","3210","[c]","26560","25880"
"Leaver Dept.","2022","20-29","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Unknown","300","[c]","32290","32000"
"Leaver Dept.","2022","30-39","London","3045","[c]","44650","40780"
"Leaver Dept.","2022","30-39","Outside London","3515","[c]","32380","28590"
"Leaver Dept.","2022","30-39","Overseas","25","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Unknown","215","[c]","39790","33250"
"Leaver Dept.","2022","40-49","London","1960","[c]","51890","51550"
"Leaver Dept.","2022","40-49","Outside London","3080","[c]","37950","32310"
"Leaver Dept.","2022","40-49","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Unknown","140","[c]","41860","32440"
"Leaver Dept.","2022","50-59","London","1290","[c]","52560","47100"
"Leaver Dept.","2022","50-59","Outside London","2245","[c]","40860","34290"
"Leaver Dept.","2022","50-59","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","75","[c]","46170","41090"
"Leaver Dept.","2022","60-64","London","225","[c]","55860","45850"
"Leaver Dept.","2022","60-64","Outside London","400","[c]","47390","36780"
"Leaver Dept.","2022","60-64","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","London","95","[c]","56990","40570"
"Leaver Dept.","2022","65+","Outside London","120","[c]","42290","32150"
"Leaver Dept.","2022","65+","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Outside London","5","[c]","[c]","[c]"
"New entrant CS","2022","16-19","London","125","[c]","25270","25110"
"New entrant CS","2022","16-19","Outside London","865","[c]","21390","21250"
"New entrant CS","2022","16-19","Unknown","25","[c]","17510","16190"
"New entrant CS","2022","20-29","London","7000","[c]","31690","30520"
"New entrant CS","2022","20-29","Outside London","20615","[c]","24990","23170"
"New entrant CS","2022","20-29","Overseas","10","[c]","27180","21680"
"New entrant CS","2022","20-29","Unknown","350","[c]","25550","27500"
"New entrant CS","2022","30-39","London","3120","[c]","39830","35070"
"New entrant CS","2022","30-39","Outside London","13745","[c]","28940","26590"
"New entrant CS","2022","30-39","Overseas","15","[c]","39000","36960"
"New entrant CS","2022","30-39","Unknown","195","[c]","30390","27570"
"New entrant CS","2022","40-49","London","1850","[c]","43180","37750"
"New entrant CS","2022","40-49","Outside London","9435","[c]","31420","27570"
"New entrant CS","2022","40-49","Overseas","15","[c]","39940","39030"
"New entrant CS","2022","40-49","Unknown","145","[c]","36970","29290"
"New entrant CS","2022","50-59","London","1305","[c]","42440","35290"
"New entrant CS","2022","50-59","Outside London","7855","[c]","30470","27230"
"New entrant CS","2022","50-59","Overseas","10","[c]","44360","38370"
"New entrant CS","2022","50-59","Unknown","120","[c]","36230","29390"
"New entrant CS","2022","60-64","London","285","[c]","40930","34630"
"New entrant CS","2022","60-64","Outside London","1715","[c]","28820","26380"
"New entrant CS","2022","60-64","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2022","60-64","Unknown","25","[c]","28040","23320"
"New entrant CS","2022","65+","London","80","[c]","40550","36930"
"New entrant CS","2022","65+","Outside London","480","[c]","29990","27570"
"New entrant CS","2022","65+","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Outside London","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
