"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","35","30","37680","36130"
"In post","2022","Accountant in Bankruptcy","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","50","45","34770","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","30","30","33700","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","30","30","24770","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","40","40","33390","31140"
"In post","2022","Advisory, Conciliation and Arbitration Service","Central Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Glasgow City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","30","30","24690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO/HEO","55","50","34590","31640"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Heart of Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Leeds","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Leeds","EO","20","20","24560","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Leeds","SEO/HEO","40","40","34520","33830"
"In post","2022","Advisory, Conciliation and Arbitration Service","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Manchester","AA/AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Manchester","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Manchester","SEO/HEO","70","65","34320","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Medway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North Hampshire","SEO/HEO","15","15","37920","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","AA/AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Nottingham","SEO/HEO","45","45","33510","30990"
"In post","2022","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Sefton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Somerset CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Somerset CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Staffordshire CC","G6/G7","[c]","[c]","[c]","[c]"
