"Status","Year","Disability","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Derby","Heterosexual / straight","130","115","26290","24090"
"In post","2022","Declared disabled","East Midlands (England)","Derby","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","Heterosexual / straight","65","55","26810","27570"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","Heterosexual / straight","250","225","26720","25120"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","Undeclared","30","30","27160","21610"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","Unknown","35","30","24620","22600"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","150","140","28240","26990"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","325","300","28520","27570"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","LGBO","30","30","29870","27570"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","Undeclared","45","40","27330","27570"
"In post","2022","Declared disabled","East Midlands (England)","Lincolnshire CC","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","Heterosexual / straight","75","65","26550","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","130","120","29380","27570"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","North Nottinghamshire","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","Heterosexual / straight","765","705","31120","27570"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","LGBO","110","105","31010","27790"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","Undeclared","115","110","31250","27570"
"In post","2022","Declared disabled","East Midlands (England)","Nottingham","Unknown","55","50","29990","27570"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","Heterosexual / straight","105","95","31480","27570"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","LGBO","10","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South and West Derbyshire","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","Heterosexual / straight","95","90","32070","29180"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","South Nottinghamshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","Heterosexual / straight","120","110","27110","26850"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","West Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","Heterosexual / straight","85","75","31120","28140"
"In post","2022","Declared disabled","East of England","Bedford","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","Heterosexual / straight","45","40","28030","27570"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","Heterosexual / straight","285","265","32990","31550"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","Undeclared","50","45","33500","33000"
"In post","2022","Declared disabled","East of England","Cambridgeshire CC","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","Heterosexual / straight","30","30","34940","26800"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","Heterosexual / straight","85","75","29370","29290"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","Heterosexual / straight","125","110","27720","28200"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Essex Thames Gateway","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","Heterosexual / straight","110","105","32020","29290"
"In post","2022","Declared disabled","East of England","Heart of Essex","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Heart of Essex","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","Heterosexual / straight","260","240","34190","30000"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Hertfordshire CC","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","Heterosexual / straight","60","55","27100","27570"
"In post","2022","Declared disabled","East of England","Luton","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Luton","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","Heterosexual / straight","95","85","28460","27570"
"In post","2022","Declared disabled","East of England","North and West Norfolk","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","North and West Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","Heterosexual / straight","215","195","28740","27570"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","Undeclared","30","30","28100","27570"
"In post","2022","Declared disabled","East of England","Norwich and East Norfolk","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","Heterosexual / straight","180","165","29300","26780"
"In post","2022","Declared disabled","East of England","Peterborough","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","East of England","Peterborough","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","East of England","Southend-on-Sea","Heterosexual / straight","100","90","32910","29290"
