"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","70","65","25060","24250"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AO","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","170","155","29000","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","45","45","35020","34680"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
