"Status","Year","Disability","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","95","85","33010","30990"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","50","45","33190","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Female","Heterosexual / straight","195","180","27570","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Female","LGBO","20","20","[c]","[c]"
