"Status","Year","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Commercial","30","30","41870","38980"
"In post","2022","Declared disabled","Asian","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","65","60","28530","27570"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","95","90","40450","36050"
"In post","2022","Declared disabled","Asian","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","65","65","41120","40610"
"In post","2022","Declared disabled","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","70","70","39010","37650"
"In post","2022","Declared disabled","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intelligence Analysis","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","International Trade","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","70","65","51070","49840"
"In post","2022","Declared disabled","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Operational Delivery","1820","1635","28060","27570"
"In post","2022","Declared disabled","Asian","Operational Research","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Other","150","135","29290","27570"
"In post","2022","Declared disabled","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Policy","230","225","41720","36740"
"In post","2022","Declared disabled","Asian","Project Delivery","90","85","39820","36450"
"In post","2022","Declared disabled","Asian","Property","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Science and Engineering","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Statistics","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Tax","120","110","35200","33370"
"In post","2022","Declared disabled","Asian","Unknown","145","140","38720","34550"
"In post","2022","Declared disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Counter Fraud","60","50","28570","27570"
"In post","2022","Declared disabled","Black","Digital, Data and Technology","50","50","42800","40220"
"In post","2022","Declared disabled","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Finance","35","30","38640","35990"
