"Status","Year","Ethnicity","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Female","Heterosexual / straight","265","255","42550","37930"
"In post","2022","Asian","Analysis","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Female","Undeclared","25","20","[c]","[c]"
"In post","2022","Asian","Analysis","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Male","Heterosexual / straight","270","265","43280","40180"
"In post","2022","Asian","Analysis","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Female","Heterosexual / straight","125","120","41270","37900"
"In post","2022","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Heterosexual / straight","125","125","43840","39680"
"In post","2022","Asian","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","Heterosexual / straight","265","255","34440","31940"
"In post","2022","Asian","Communications","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Female","Unknown","40","40","29370","26820"
"In post","2022","Asian","Communications","Male","Heterosexual / straight","315","310","30770","26820"
"In post","2022","Asian","Communications","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Male","Unknown","45","45","30910","27840"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","Heterosexual / straight","520","470","30340","27570"
"In post","2022","Asian","Counter Fraud","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","Undeclared","50","40","27430","25960"
"In post","2022","Asian","Counter Fraud","Female","Unknown","145","125","29730","26820"
"In post","2022","Asian","Counter Fraud","Male","Heterosexual / straight","520","510","32110","30750"
"In post","2022","Asian","Counter Fraud","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Male","Unknown","80","75","31870","31040"
"In post","2022","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Female","Heterosexual / straight","305","255","23210","21260"
"In post","2022","Asian","Debt","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Debt","Female","Undeclared","35","25","23960","25110"
"In post","2022","Asian","Debt","Female","Unknown","95","75","24110","22720"
"In post","2022","Asian","Debt","Male","Heterosexual / straight","240","225","22830","21260"
"In post","2022","Asian","Debt","Male","LGBO","10","5","[c]","[c]"
"In post","2022","Asian","Debt","Male","Undeclared","20","15","[c]","[c]"
"In post","2022","Asian","Debt","Male","Unknown","50","45","27150","25470"
"In post","2022","Asian","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Female","Heterosexual / straight","455","440","41410","37300"
"In post","2022","Asian","Digital, Data & Technology","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Female","Undeclared","40","35","42700","40560"
"In post","2022","Asian","Digital, Data & Technology","Female","Unknown","45","45","39860","37290"
"In post","2022","Asian","Digital, Data & Technology","Male","Heterosexual / straight","715","715","42260","38000"
"In post","2022","Asian","Digital, Data & Technology","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Male","Undeclared","35","35","39890","37800"
"In post","2022","Asian","Digital, Data & Technology","Male","Unknown","70","70","43480","40520"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Female","Heterosexual / straight","460","440","38120","35310"
"In post","2022","Asian","Finance","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Female","Undeclared","35","35","35530","31990"
"In post","2022","Asian","Finance","Female","Unknown","65","55","35270","33370"
"In post","2022","Asian","Finance","Male","Heterosexual / straight","490","485","40380","36820"
"In post","2022","Asian","Finance","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Finance","Male","Unknown","50","50","37660","35510"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Asian","Grants Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Grants Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Heterosexual / straight","420","405","37660","34260"
"In post","2022","Asian","Human Resources","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Heterosexual / straight","165","165","35930","32000"
"In post","2022","Asian","Human Resources","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Female","Heterosexual / straight","40","40","44320","43250"
"In post","2022","Asian","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Male","Heterosexual / straight","35","35","50750","49950"
"In post","2022","Asian","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Female","Heterosexual / straight","670","625","43550","48080"
"In post","2022","Asian","Legal","Female","LGBO","15","10","[c]","[c]"
"In post","2022","Asian","Legal","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Legal","Female","Unknown","105","85","42420","39750"
"In post","2022","Asian","Legal","Male","Heterosexual / straight","305","300","44450","46730"
"In post","2022","Asian","Legal","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Legal","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Legal","Male","Unknown","40","40","45300","51830"
"In post","2022","Asian","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Female","Heterosexual / straight","8215","7495","31410","28200"
"In post","2022","Asian","No function","Female","LGBO","195","175","31360","27570"
"In post","2022","Asian","No function","Female","Undeclared","605","530","30090","27570"
"In post","2022","Asian","No function","Female","Unknown","1180","970","30580","27570"
"In post","2022","Asian","No function","Male","Heterosexual / straight","6445","6260","31780","27570"
"In post","2022","Asian","No function","Male","LGBO","210","200","33630","29510"
"In post","2022","Asian","No function","Male","Undeclared","360","340","31960","28150"
"In post","2022","Asian","No function","Male","Unknown","740","705","31960","27570"
"In post","2022","Asian","No function","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Female","Heterosexual / straight","510","485","42310","37940"
"In post","2022","Asian","Project Delivery","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Female","Undeclared","20","15","[c]","[c]"
