"Status","Year","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","London","100","95","41440","40650"
"In post","2022","Declared disabled","Commercial","Outside London","490","470","37550","35880"
"In post","2022","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","130","125","42730","39670"
"In post","2022","Declared disabled","Communications","Outside London","190","180","36180","33300"
"In post","2022","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","150","135","31360","31060"
"In post","2022","Declared disabled","Counter Fraud","Outside London","840","745","27820","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","London","305","295","48460","42900"
"In post","2022","Declared disabled","Digital, Data and Technology","Outside London","1435","1370","38310","35310"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","London","90","90","48800","46220"
"In post","2022","Declared disabled","Economics","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","230","225","47150","43700"
"In post","2022","Declared disabled","Finance","Outside London","880","830","36140","33300"
"In post","2022","Declared disabled","Finance","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Geography","Overseas","[c]","[c]","[c]","[c]"
