"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Angus and Dundee City","Outside London","EO","Heterosexual / straight","430","405","27630","27570"
"In post","2022","Angus and Dundee City","Outside London","EO","LGBO","35","35","27490","27570"
"In post","2022","Angus and Dundee City","Outside London","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","EO","Unknown","135","120","27690","27230"
"In post","2022","Angus and Dundee City","Outside London","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G7","Heterosexual / straight","35","35","56990","57190"
"In post","2022","Angus and Dundee City","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","HEO","Heterosexual / straight","140","140","32740","31540"
"In post","2022","Angus and Dundee City","Outside London","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","HEO","Unknown","30","30","32840","31540"
"In post","2022","Angus and Dundee City","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SEO","Heterosexual / straight","95","95","44200","41750"
"In post","2022","Angus and Dundee City","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Angus and Dundee City","Outside London","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","Heterosexual / straight","90","90","20170","20560"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","Heterosexual / straight","30","30","23030","22130"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AA","Heterosexual / straight","85","85","20310","20560"
"In post","2022","Ards and North Down","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AO","Heterosexual / straight","50","45","22770","22130"
"In post","2022","Ards and North Down","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AO","Heterosexual / straight","65","60","24850","24250"
"In post","2022","Barking & Dagenham and Havering","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","AO","Unknown","20","15","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","EO","Heterosexual / straight","295","270","31040","31060"
"In post","2022","Barking & Dagenham and Havering","London","EO","LGBO","10","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","EO","Undeclared","25","20","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","EO","Unknown","90","80","31030","31060"
"In post","2022","Barking & Dagenham and Havering","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","HEO","Heterosexual / straight","35","30","36700","36650"
"In post","2022","Barking & Dagenham and Havering","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","HEO","Unknown","10","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","Heterosexual / straight","75","70","33910","33900"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Barnet","London","AA","Heterosexual / straight","35","25","22180","22350"
"In post","2022","Barnet","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Barnet","London","AA","Unknown","15","10","[c]","[c]"
"In post","2022","Barnet","London","AO","Heterosexual / straight","160","140","24600","24060"
"In post","2022","Barnet","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Barnet","London","AO","Unknown","25","20","[c]","[c]"
"In post","2022","Barnet","London","EO","Heterosexual / straight","340","315","29590","30780"
"In post","2022","Barnet","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Barnet","London","EO","Undeclared","40","35","29460","30470"
"In post","2022","Barnet","London","EO","Unknown","80","75","30410","31060"
"In post","2022","Barnet","London","G6","Heterosexual / straight","45","40","71190","70630"
"In post","2022","Barnet","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Barnet","London","G6","Unknown","25","25","[c]","[c]"
"In post","2022","Barnet","London","G7","Heterosexual / straight","145","140","57150","55130"
"In post","2022","Barnet","London","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Barnet","London","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Barnet","London","G7","Unknown","55","55","55940","54290"
"In post","2022","Barnet","London","HEO","Heterosexual / straight","200","200","34240","32830"
"In post","2022","Barnet","London","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Barnet","London","HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Barnet","London","HEO","Unknown","35","30","36800","37350"
"In post","2022","Barnet","London","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Barnet","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Barnet","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Barnet","London","SEO","Heterosexual / straight","200","195","42300","40750"
"In post","2022","Barnet","London","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Barnet","London","SEO","Undeclared","35","30","42910","41880"
"In post","2022","Barnet","London","SEO","Unknown","60","60","44190","44950"
"In post","2022","Barnet","London","Unknown","Heterosexual / straight","70","70","33690","32090"
"In post","2022","Barnet","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Barnet","London","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AA","Heterosexual / straight","130","125","20830","20890"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AA","LGBO","10","10","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AA","Unknown","50","45","20840","20890"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AO","Heterosexual / straight","840","735","23720","21260"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AO","LGBO","45","40","24600","23140"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AO","Undeclared","100","90","24810","21260"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","AO","Unknown","255","225","23620","21960"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","EO","Heterosexual / straight","670","590","28230","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","EO","LGBO","40","40","28530","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","EO","Undeclared","80","70","28630","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","EO","Unknown","170","145","28970","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","HEO","Heterosexual / straight","215","200","34210","33160"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","HEO","Unknown","25","20","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SEO","Heterosexual / straight","85","80","46270","46420"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SEO","Undeclared","15","10","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Heterosexual / straight","225","205","29170","28200"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Unknown","45","40","28360","25480"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Heterosexual / straight","85","80","20200","19810"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","LGBO","5","5","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","Unknown","30","30","21110","20890"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Heterosexual / straight","415","375","23740","21680"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","LGBO","35","30","24040","23140"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Undeclared","65","60","24230","21680"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","Unknown","90","80","24680","22150"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Heterosexual / straight","1805","1705","25200","25750"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","LGBO","125","125","25750","26670"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Undeclared","190","180","26360","26670"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","Unknown","280","265","24370","25750"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Heterosexual / straight","440","430","68290","67150"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Undeclared","75","75","68120","66670"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","Unknown","30","30","70360","70380"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Heterosexual / straight","1260","1230","52980","53790"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","LGBO","40","40","51800","52680"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Undeclared","190","185","53310","54280"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","Unknown","90","85","53240","53500"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Heterosexual / straight","2525","2415","31180","31770"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","LGBO","105","105","30610","31290"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Undeclared","300","285","32310","32600"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","Unknown","250","240","31900","32000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Heterosexual / straight","115","115","98430","91580"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Heterosexual / straight","2760","2660","40800","40580"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","LGBO","95","95","39540","39970"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Undeclared","430","410","41670","41200"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","Unknown","225","220","40550","40000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Heterosexual / straight","1310","1270","40680","37850"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","LGBO","55","50","32340","31250"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Undeclared","160","155","43300","40710"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Unknown","115","110","36870","34340"
"In post","2022","Bedford","Outside London","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Bedford","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Bedford","Outside London","AO","Heterosexual / straight","160","150","26910","28140"
"In post","2022","Bedford","Outside London","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Bedford","Outside London","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Bedford","Outside London","AO","Unknown","55","50","27210","28140"
"In post","2022","Bedford","Outside London","EO","Heterosexual / straight","195","180","27650","27570"
"In post","2022","Bedford","Outside London","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Bedford","Outside London","EO","Undeclared","30","25","[c]","[c]"
"In post","2022","Bedford","Outside London","EO","Unknown","45","40","27120","27570"
"In post","2022","Bedford","Outside London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Bedford","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Bedford","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","HEO","Heterosexual / straight","65","65","33920","33300"
"In post","2022","Bedford","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","HEO","Undeclared","5","5","[c]","[c]"
