"Status","Year","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Female","Heterosexual / straight","15325","14100","33400","29490"
"In post","2022","Asian","Female","LGBO","330","305","32110","28310"
"In post","2022","Asian","Female","Undeclared","1170","1035","31460","28310"
"In post","2022","Asian","Female","Unknown","1880","1585","31750","27570"
"In post","2022","Asian","Male","Heterosexual / straight","12620","12315","34050","30450"
"In post","2022","Asian","Male","LGBO","390","380","36240","32370"
"In post","2022","Asian","Male","Undeclared","690","665","33190","30400"
"In post","2022","Asian","Male","Unknown","1245","1190","34000","29290"
"In post","2022","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Female","Heterosexual / straight","9250","8830","33140","31020"
"In post","2022","Black","Female","LGBO","195","190","33720","30990"
"In post","2022","Black","Female","Undeclared","585","545","32320","30320"
"In post","2022","Black","Female","Unknown","885","800","32030","30550"
"In post","2022","Black","Male","Heterosexual / straight","5275","5180","33950","31060"
"In post","2022","Black","Male","LGBO","150","150","36180","31120"
"In post","2022","Black","Male","Undeclared","230","220","33710","31060"
"In post","2022","Black","Male","Unknown","505","490","34180","31650"
"In post","2022","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","Heterosexual / straight","4255","4000","34980","31060"
"In post","2022","Mixed","Female","LGBO","430","415","34610","30970"
"In post","2022","Mixed","Female","Undeclared","380","350","33830","30200"
"In post","2022","Mixed","Female","Unknown","320","285","34970","29230"
"In post","2022","Mixed","Male","Heterosexual / straight","2870","2815","36980","32800"
"In post","2022","Mixed","Male","LGBO","380","375","37370","33140"
"In post","2022","Mixed","Male","Undeclared","275","260","37060","31880"
"In post","2022","Mixed","Male","Unknown","255","245","36670","32140"
"In post","2022","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Heterosexual / straight","1075","1010","35140","31060"
"In post","2022","Other ethnicity","Female","LGBO","95","90","35830","32790"
"In post","2022","Other ethnicity","Female","Undeclared","125","115","39010","31520"
"In post","2022","Other ethnicity","Female","Unknown","130","115","36490","31060"
"In post","2022","Other ethnicity","Male","Heterosexual / straight","845","830","36900","32790"
"In post","2022","Other ethnicity","Male","LGBO","115","115","42230","35200"
"In post","2022","Other ethnicity","Male","Undeclared","150","145","42270","36980"
"In post","2022","Other ethnicity","Male","Unknown","115","110","37510","31650"
"In post","2022","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Heterosexual / straight","1430","1310","32190","28310"
"In post","2022","Undeclared","Female","LGBO","95","90","31700","29750"
"In post","2022","Undeclared","Female","Undeclared","4895","4440","34160","30410"
"In post","2022","Undeclared","Female","Unknown","1865","1570","31260","27570"
"In post","2022","Undeclared","Male","Heterosexual / straight","1630","1570","34900","31060"
"In post","2022","Undeclared","Male","LGBO","205","195","35150","31600"
"In post","2022","Undeclared","Male","Undeclared","8175","7880","37560","33370"
"In post","2022","Undeclared","Male","Unknown","1905","1795","35910","32640"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Heterosexual / straight","1845","1650","33720","28920"
"In post","2022","Unknown","Female","LGBO","105","100","35170","29290"
"In post","2022","Unknown","Female","Undeclared","1400","1315","40170","35510"
"In post","2022","Unknown","Female","Unknown","33270","30985","32110","27570"
"In post","2022","Unknown","Male","Heterosexual / straight","1520","1470","35520","31400"
"In post","2022","Unknown","Male","LGBO","145","140","38060","32710"
"In post","2022","Unknown","Male","Undeclared","1185","1145","42470","38200"
"In post","2022","Unknown","Male","Unknown","33025","32190","34230","29490"
"In post","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Female","Heterosexual / straight","156415","142135","33600","28280"
"In post","2022","White","Female","LGBO","9745","9425","33260","29230"
"In post","2022","White","Female","Undeclared","13745","12225","32490","27570"
"In post","2022","White","Female","Unknown","16805","14165","31340","27570"
"In post","2022","White","Male","Heterosexual / straight","124885","121190","36540","32000"
"In post","2022","White","Male","LGBO","9655","9460","36430","31650"
"In post","2022","White","Male","Undeclared","10240","9785","35800","31650"
"In post","2022","White","Male","Unknown","13335","12580","35930","31650"
"In post","2022","White","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Heterosexual / straight","930","[c]","32090","28080"
"Leaver CS","2022","Asian","Female","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Female","Undeclared","75","[c]","31250","27570"
"Leaver CS","2022","Asian","Female","Unknown","265","[c]","36620","29010"
"Leaver CS","2022","Asian","Male","Heterosexual / straight","835","[c]","34020","29260"
"Leaver CS","2022","Asian","Male","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Male","Undeclared","45","[c]","34790","29200"
"Leaver CS","2022","Asian","Male","Unknown","190","[c]","38070","33040"
"Leaver CS","2022","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","Heterosexual / straight","740","[c]","31770","30350"
"Leaver CS","2022","Black","Female","LGBO","35","[c]","30590","29290"
"Leaver CS","2022","Black","Female","Undeclared","45","[c]","33140","27660"
"Leaver CS","2022","Black","Female","Unknown","105","[c]","34470","31070"
"Leaver CS","2022","Black","Male","Heterosexual / straight","425","[c]","33050","30300"
"Leaver CS","2022","Black","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Black","Male","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Heterosexual / straight","400","[c]","31500","27570"
"Leaver CS","2022","Mixed","Female","LGBO","45","[c]","27870","27570"
"Leaver CS","2022","Mixed","Female","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Heterosexual / straight","250","[c]","33500","28040"
"Leaver CS","2022","Mixed","Male","LGBO","40","[c]","34540","27570"
"Leaver CS","2022","Mixed","Male","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Male","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Heterosexual / straight","105","[c]","34320","31060"
"Leaver CS","2022","Other ethnicity","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Heterosexual / straight","70","[c]","34870","31060"
"Leaver CS","2022","Other ethnicity","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Male","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Heterosexual / straight","95","[c]","32660","27570"
"Leaver CS","2022","Undeclared","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","Undeclared","375","[c]","31420","27570"
"Leaver CS","2022","Undeclared","Female","Unknown","270","[c]","31460","27570"
"Leaver CS","2022","Undeclared","Male","Heterosexual / straight","130","[c]","33050","28180"
"Leaver CS","2022","Undeclared","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Male","Undeclared","565","[c]","36730","33410"
"Leaver CS","2022","Undeclared","Male","Unknown","335","[c]","34870","29540"
"Leaver CS","2022","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Heterosexual / straight","125","[c]","33710","29290"
"Leaver CS","2022","Unknown","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Undeclared","290","[c]","38560","33040"
"Leaver CS","2022","Unknown","Female","Unknown","4220","[c]","30610","25930"
"Leaver CS","2022","Unknown","Male","Heterosexual / straight","135","[c]","40460","31060"
"Leaver CS","2022","Unknown","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Undeclared","245","[c]","39270","39070"
"Leaver CS","2022","Unknown","Male","Unknown","4250","[c]","33340","27570"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Female","Heterosexual / straight","10490","[c]","32070","27570"
"Leaver CS","2022","White","Female","LGBO","850","[c]","30360","27570"
"Leaver CS","2022","White","Female","Undeclared","1055","[c]","31410","27570"
"Leaver CS","2022","White","Female","Unknown","2730","[c]","32510","27570"
"Leaver CS","2022","White","Male","Heterosexual / straight","9385","[c]","34840","28970"
"Leaver CS","2022","White","Male","LGBO","745","[c]","33270","27570"
"Leaver CS","2022","White","Male","Undeclared","765","[c]","35600","29280"
"Leaver CS","2022","White","Male","Unknown","2100","[c]","39180","32670"
"Leaver CS","2022","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Heterosexual / straight","1145","[c]","35530","30850"
"Leaver Dept.","2022","Asian","Female","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Undeclared","80","[c]","38530","31990"
"Leaver Dept.","2022","Asian","Female","Unknown","150","[c]","48090","35830"
"Leaver Dept.","2022","Asian","Male","Heterosexual / straight","815","[c]","35290","30450"
"Leaver Dept.","2022","Asian","Male","LGBO","45","[c]","36310","33610"
"Leaver Dept.","2022","Asian","Male","Undeclared","55","[c]","39700","34550"
"Leaver Dept.","2022","Asian","Male","Unknown","110","[c]","47010","40980"
"Leaver Dept.","2022","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Heterosexual / straight","735","[c]","34960","31060"
"Leaver Dept.","2022","Black","Female","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Undeclared","40","[c]","38630","32330"
"Leaver Dept.","2022","Black","Female","Unknown","75","[c]","40320","32330"
"Leaver Dept.","2022","Black","Male","Heterosexual / straight","300","[c]","36750","31520"
"Leaver Dept.","2022","Black","Male","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Unknown","45","[c]","[c]","[c]"
