"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","AO","40","35","22250","21260"
"In post","2022","Declared disabled","Commercial","EO","EO","100","90","26850","26670"
"In post","2022","Declared disabled","Commercial","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","G7","60","60","52580","51540"
"In post","2022","Declared disabled","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","HEO","145","140","32660","33000"
"In post","2022","Declared disabled","Commercial","SEO/HEO","SEO","195","190","41460","40650"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","EO","65","65","27960","27380"
"In post","2022","Declared disabled","Communications","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","G7","50","50","53850","53360"
"In post","2022","Declared disabled","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","HEO","85","85","33900","33300"
"In post","2022","Declared disabled","Communications","SEO/HEO","SEO","70","70","41960","41990"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","AO","235","195","22500","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","EO","575","510","28150","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
