"Status","Year","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Female","170","160","37460","34710"
"In post","2022","Asian","Commercial","Male","135","130","40260","37220"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","120","115","39830","37790"
"In post","2022","Asian","Communications","Male","70","70","39800","37090"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","370","315","27330","27570"
"In post","2022","Asian","Counter Fraud","Male","250","240","29440","27570"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Female","530","515","42610","39870"
"In post","2022","Asian","Digital, Data and Technology","Male","875","870","43110","40180"
"In post","2022","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Female","95","90","41640","37380"
"In post","2022","Asian","Economics","Male","130","130","45260","39610"
"In post","2022","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Female","495","475","39610","36610"
"In post","2022","Asian","Finance","Male","500","495","41530","38160"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","395","375","38310","35050"
"In post","2022","Asian","Human Resources","Male","165","160","37000","33370"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Female","20","20","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Male","5","5","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Female","110","100","31440","29080"
"In post","2022","Asian","Intelligence Analysis","Male","85","85","33340","29080"
"In post","2022","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Female","45","45","43770","43160"
"In post","2022","Asian","Internal Audit","Male","45","40","49310","49110"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Female","70","70","44660","38300"
"In post","2022","Asian","International Trade","Male","70","70","45280","38540"
"In post","2022","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Female","85","80","33610","31060"
"In post","2022","Asian","Knowledge and Information Management","Male","35","35","36280","33210"
"In post","2022","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Female","680","625","49600","50930"
"In post","2022","Asian","Legal","Male","365","360","47250","48080"
"In post","2022","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Female","125","115","64520","54760"
"In post","2022","Asian","Medicine","Male","65","60","80900","78970"
"In post","2022","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Female","10095","8885","27870","27570"
"In post","2022","Asian","Operational Delivery","Male","7335","7050","28680","27570"
"In post","2022","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Female","25","25","[c]","[c]"
"In post","2022","Asian","Operational Research","Male","30","30","47810","43580"
"In post","2022","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Female","1000","905","30560","27570"
"In post","2022","Asian","Other","Male","675","660","29660","27570"
"In post","2022","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Female","1445","1400","43810","40050"
"In post","2022","Asian","Policy","Male","965","955","43650","39640"
"In post","2022","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Female","530","505","40470","37230"
"In post","2022","Asian","Project Delivery","Male","435","430","42400","40180"
"In post","2022","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Female","155","145","37140","33190"
"In post","2022","Asian","Property","Male","175","170","38840","34260"
"In post","2022","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Female","35","35","32860","31180"
"In post","2022","Asian","Psychology","Male","5","5","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Female","300","285","38630","35320"
"In post","2022","Asian","Science and Engineering","Male","305","295","37580","37280"
"In post","2022","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Female","120","115","34340","31630"
"In post","2022","Asian","Security","Male","230","230","30770","27200"
"In post","2022","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","Female","40","40","41320","38180"
"In post","2022","Asian","Social Research","Male","10","10","[c]","[c]"
"In post","2022","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Female","85","85","44490","40520"
"In post","2022","Asian","Statistics","Male","95","90","41890","39600"
"In post","2022","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","Female","820","775","33090","33080"
"In post","2022","Asian","Tax","Male","1150","1120","34010","33080"
"In post","2022","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Female","735","710","38930","34550"
"In post","2022","Asian","Unknown","Male","710","705","38790","33370"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Female","125","125","36880","35710"
"In post","2022","Black","Commercial","Male","70","70","38390","36650"
"In post","2022","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Female","80","75","38230","35010"
"In post","2022","Black","Communications","Male","35","35","39550","38210"
"In post","2022","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Female","210","190","29160","27570"
"In post","2022","Black","Counter Fraud","Male","105","100","29180","27570"
"In post","2022","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","Female","235","235","40470","37580"
"In post","2022","Black","Digital, Data and Technology","Male","365","360","40140","37100"
"In post","2022","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","Female","30","30","[c]","[c]"
"In post","2022","Black","Economics","Male","35","35","42280","35780"
"In post","2022","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Female","270","265","38730","35840"
"In post","2022","Black","Finance","Male","175","175","41330","39960"
"In post","2022","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","Female","280","275","37430","34850"
"In post","2022","Black","Human Resources","Male","65","65","35810","32160"
"In post","2022","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Female","25","25","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Male","10","10","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Female","30","25","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Female","15","15","[c]","[c]"
"In post","2022","Black","Internal Audit","Male","15","15","[c]","[c]"
"In post","2022","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","Female","45","45","41780","38350"
"In post","2022","Black","International Trade","Male","25","25","[c]","[c]"
"In post","2022","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Female","35","35","33050","30530"
"In post","2022","Black","Knowledge and Information Management","Male","25","25","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","Female","355","345","48280","49580"
"In post","2022","Black","Legal","Male","125","125","50840","51250"
"In post","2022","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","Female","45","40","50520","40060"
"In post","2022","Black","Medicine","Male","15","15","[c]","[c]"
"In post","2022","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
