"Status","Year","Parent_department","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","AA/AO","105","100","21900","22200"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","EO","95","90","26750","26090"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","G6/G7","220","200","53450","51940"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","SEO/HEO","65","60","34920","34480"
"In post","2022","Attorney General's Departments","East of England","Outside London","AA/AO","115","105","23010","23770"
"In post","2022","Attorney General's Departments","East of England","Outside London","EO","115","100","28200","28430"
"In post","2022","Attorney General's Departments","East of England","Outside London","G6/G7","210","190","58750","58970"
"In post","2022","Attorney General's Departments","East of England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Outside London","SEO/HEO","70","65","37180","38000"
"In post","2022","Attorney General's Departments","London","London","AA/AO","430","400","23460","23770"
"In post","2022","Attorney General's Departments","London","London","EO","780","745","28480","27700"
"In post","2022","Attorney General's Departments","London","London","G6/G7","2650","2460","60150","61000"
"In post","2022","Attorney General's Departments","London","London","SCS level","260","245","86700","80940"
"In post","2022","Attorney General's Departments","London","London","SEO/HEO","690","670","37190","37730"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","AA/AO","85","75","22300","22200"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","EO","70","60","27150","27870"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","G6/G7","150","140","54710","55610"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","SEO/HEO","50","50","34760","34480"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","AA/AO","215","200","22090","22200"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","EO","225","210","27330","28430"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","G6/G7","430","400","55210","55610"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","SEO/HEO","135","135","34640","34480"
"In post","2022","Attorney General's Departments","Overseas","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","AA/AO","160","150","23620","23770"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","EO","160","150","28290","27440"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","G6/G7","320","295","59890","60710"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","SEO/HEO","90","85","37310","39540"
"In post","2022","Attorney General's Departments","South West (England)","Outside London","AA/AO","55","50","22240","22200"
