"Status","Year","Function_of_post","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","Female","70","60","66580","65470"
"In post","2022","Analysis","Chancellor's other departments","London","Male","125","120","68140","57250"
"In post","2022","Analysis","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","Male","80","80","63390","58000"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","95","95","43000","36240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","Male","175","170","44840","39570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Female","30","30","32420","30770"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
