"Status","Year","Age","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
