"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AO","Male","[c]","[c]","[c]","[c]"
