"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA/AO","40","35","22920","21340"
"In post","2022","Declared disabled","Commercial","EO","100","90","26850","26670"
"In post","2022","Declared disabled","Commercial","G6/G7","85","85","57270","54520"
"In post","2022","Declared disabled","Commercial","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","345","330","37710","37420"
"In post","2022","Declared disabled","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","65","65","27960","27380"
"In post","2022","Declared disabled","Communications","G6/G7","65","65","56990","55210"
"In post","2022","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","155","150","37490","36960"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","240","200","22470","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","575","510","28150","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","165","155","35060","33180"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","65","60","21370","21260"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","395","370","27530","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","405","395","58030","55860"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","850","815","37260","36640"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","50","50","61160","58910"
"In post","2022","Declared disabled","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","50","50","35460","34610"
"In post","2022","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","110","100","22070","21530"
"In post","2022","Declared disabled","Finance","EO","250","235","26880","26670"
"In post","2022","Declared disabled","Finance","G6/G7","215","210","57770","55500"
"In post","2022","Declared disabled","Finance","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","510","485","36860","35980"
"In post","2022","Declared disabled","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","140","125","21910","21490"
"In post","2022","Declared disabled","Human Resources","EO","205","190","27900","27570"
"In post","2022","Declared disabled","Human Resources","G6/G7","285","275","57940","56040"
"In post","2022","Declared disabled","Human Resources","SCS level","35","35","85650","80000"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","595","570","36690","35980"
"In post","2022","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","35","35","72870","75480"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","35","30","50760","51360"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","155","145","28060","27380"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","115","110","37110","36490"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","60","60","39260","38770"
"In post","2022","Declared disabled","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","50","50","57410","54650"
"In post","2022","Declared disabled","International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO/HEO","60","55","36320","35550"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","55","55","22230","21380"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","70","65","28100","27570"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","30","30","58330","55870"
"In post","2022","Declared disabled","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","SEO/HEO","135","130","36680","35720"
"In post","2022","Declared disabled","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA/AO","30","25","22560","21250"
"In post","2022","Declared disabled","Legal","EO","125","115","28310","27130"
